stage,axial,endocrine_pancreas,epidermis,eye,glial,hatching_gland,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,12.31,0,0,0,0,0.82,0.82,7.39,0,0,0.82,0
 36-46,0,0,0,0.81,2.42,0,0,0,0.81,22.56,0,0,0,0,0,0,10.47,0,0,0,0
 48-58,0,0,0.57,3.44,0,0,0,1.15,0.57,33.85,0.57,0,0,0,0,0,9.18,0,0,0,0
 60-70,0,0,0,7.85,0.98,0,0,0.98,1.96,65.76,0.98,0,0,0,0.98,0.98,7.85,0,0,0,0
 72-82,0,0,0,19.63,7.85,0,0,0,0.98,82.46,0.98,0.98,0,0,0,0,4.91,0,0,0,0
 84-94,0,1.06,0,11.68,0,0,1.06,0,2.12,46.73,0,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,1.09,0,19.67,2.19,0,0,4.37,2.19,45.9,1.09,2.19,0,0,0,0,4.37,0,1.09,0,1.09
108-118,0,0,0.77,16.09,3.06,0,0,3.06,0.77,52.85,0,0.77,0,0.77,0,0,3.83,0.77,0,1.53,0
120,0,0,0,35.28,5.88,0,0,1.96,1.96,72.51,0,1.96,0,0,0,0,7.84,0,0,0,0
