stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0
 24-34,0,2.46,0,0.82,0,0.82,0,0.82,0,0.82,0,0,0,1.64,0,0,4.93,0.82,0,0,0,9.85,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,1.61,9.67,0,0,0,0,7.25,0,0,0,0
 48-58,0,0.57,0,2.87,0,0.57,0,0,0,1.15,0,0,0,9.75,0,1.72,15.49,0,0,0.57,0,8.03,0,0,0,0
 60-70,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,5.89,0.98,0.98,17.67,0,0,0,0,4.91,0,0.98,0,0
 72-82,0,0.98,0.98,3.93,0,5.89,0.98,0,0.98,0,0.98,0,0,21.6,0,4.91,22.58,0.98,0,0.98,0,5.89,0,0.98,1.96,0
 84-94,0,1.06,0,8.5,0,2.12,1.06,0,0,0,0,0,0,19.12,1.06,1.06,18.05,0,0,0,1.06,6.37,1.06,1.06,0,1.06
 96-106,0,0,0,8.74,0,2.19,1.09,1.09,1.09,1.09,4.37,0,0,18.58,0,3.28,6.56,1.09,0,0,0,2.19,0,1.09,0,2.19
108-118,0,1.53,0,5.36,0.77,3.06,0.77,0.77,0,0.77,5.36,0.77,0,20.68,0,0.77,16.85,0,0,0.77,0,0,0.77,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,7.84,1.96,1.96,3.92,0,3.92,23.52,0,0,0,0,0,0,0,1.96,0
