stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,236.02,9.44,0,0,94.41,3.15,6.29,0,18.88,0,3.15,0,0,0
 14-21,0,0,2,2,21,4,1,0,0,78,0,0,0,0,0,0,0,12,0,4,82,3,9,20,11,0,3,2,48,1,273,0,0,0
 24-34,0,0,2.46,2.46,3.28,0,2.46,0,0,71.41,0,0,0,0,0,3.28,0,4.93,0,1.64,205.21,1.64,55,6.57,0,0.82,0,0,21.34,3.28,161.71,0,0,0
 36-46,0,0,0,0,3.22,0,5.64,0.81,1.61,37.06,0.81,2.42,0,0,0,2.42,0,6.45,0,1.61,339.19,0,61.23,3.22,0,0,0.81,0,10.47,0,93.46,0,0,0
 48-58,0,0,0,0,0,0.57,25.82,0,0,43.61,0,0,0,0,1.15,1.72,0,9.18,0,3.44,363.79,0,35.58,4.02,0,0.57,0.57,0,4.02,0,92.96,0,0,0
 60-70,0,0,0,0,2.94,0,121.71,0,1.96,47.11,0.98,0.98,0.98,0,0,5.89,0,15.7,0,4.91,442.67,0,35.33,8.83,0,1.96,0,0,1.96,0,78.52,0.98,0.98,0
 72-82,0,0,2.94,0,2.94,0.98,158.05,0,0.98,68.72,0.98,0.98,0,0,0,10.8,0,26.5,0,2.94,380.88,0,65.77,21.6,0,0,0,0,2.94,0,66.75,0,0,0
 84-94,0,0,2.12,0,3.19,0,182.67,0,0,45.67,5.31,0,1.06,2.12,3.19,13.81,1.06,15.93,1.06,1.06,224.09,0,50.98,36.11,0,2.12,1.06,0,10.62,0,57.35,1.06,1.06,1.06
 96-106,0,0,2.19,1.09,3.28,2.19,64.48,0,0,51.36,0,0,1.09,0,0,25.14,0,20.76,0,0,174.86,0,92.89,39.34,0,1.09,0,0,9.84,0,41.53,0,0,1.09
108-118,0,0,3.83,0.77,3.83,0.77,57.45,0,0.77,33.7,3.83,0,0,0.77,0,19.92,0,12.26,1.53,0.77,204.51,0,56.68,22.98,0,0.77,0,0,6.13,0,21.45,0,0.77,0
120,0,0,1.96,0,7.84,0,37.24,1.96,0,19.6,0,0,1.96,1.96,0,13.72,0,13.72,0,0,152.86,0,27.44,19.6,0,0,0,0,5.88,0,11.76,0,0,0
