stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,9.03,0,0,5.75,2.46,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,37.87,0,0,39.48,4.03,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,1.72,0,0,2.3,0,0,1.72,0.57,0,0,1.72,0,0.57,113.04,0,0,55.09,2.3,0,0,0,0,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,3.93,0,0,0,0,0,0,2.94,0,0,274.83,0,0,52.02,8.83,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,1.96,0.98,0,27.49,0,0,1.96,1.96,0,0,3.93,0.98,0,598.81,0.98,0,54.97,16.69,0,0,0,0.98,0,0,0.98,0,6.87,0,0.98,0
 84-94,0,2.12,2.12,0,26.55,0,0,0,4.25,2.12,0,6.37,0,0,387.64,0,1.06,45.67,5.31,0,0,0,1.06,0,0,0,0,4.25,0,1.06,0
 96-106,0,5.46,2.19,1.09,25.14,1.09,3.28,1.09,3.28,1.09,4.37,4.37,0,1.09,601.07,0,2.19,38.25,27.32,0,2.19,0,0,0,0,0,0,12.02,1.09,3.28,0
108-118,1.53,3.83,0.77,0,15.32,0,0,2.3,3.83,0,0,14.55,0,0,512.43,0,0.77,32.17,25.28,0,0.77,0.77,0,0,0,0,0,6.89,1.53,2.3,2.3
120,0,5.88,0,0,19.6,0,1.96,0,3.92,0,0,7.84,0,0,444.87,0,1.96,23.52,11.76,0,0,0,3.92,0,0,0,1.96,7.84,0,0,0
