stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,208.41,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,49.04,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,28.92,0,0,2.63,0,0,0,0,18.4,0,0,0,0,0,0,0,28.92,5.26,0,244.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,40.91,12.59,0,541.28,0,0,6.29,25.18,0,9.44,0,0,0,0,0
 14-21,0,0,0,6,3,0,0,0,0,1,0,0,0,0,1,0,0,21,5,0,0,0,0,0,38,0,3,137,1,0,4,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0.82,0,0,0,0,0,0,25.45,0,0,23.8,1.64,1.64,0,0,0,0,0,0,0,8.21,1.64,0,12.31,0,0
 36-46,0,0,0,0.81,0,0.81,0,4.83,0.81,0,0,0.81,0,0,56.4,0,0,16.11,2.42,4.83,0,0,0,0,0,0,0,0.81,0,0,8.86,0,0.81
 48-58,0,0,0,0,0.57,0.57,0,2.3,0,0,0,0.57,0,0,44.76,0,0.57,14.35,4.02,1.72,0,0,0,0,0,0,0,0,1.72,0,8.03,0,0
 60-70,0,0,0,0,0,1.96,0,3.93,5.89,0,0,0.98,0,0,55.95,0,0,8.83,0.98,3.93,0.98,0,0,0,0,0,0,0,0,0.98,3.93,0,0
 72-82,0,0,0,0,0,2.94,0,8.83,21.6,0,0,0,0,0,65.77,0,1.96,9.82,1.96,2.94,0,0,0.98,0,0,0.98,0,0,0,0.98,16.69,0,0
 84-94,0,0,0,2.12,1.06,2.12,0,1.06,10.62,0,0,0,0,1.06,57.35,0,0,4.25,1.06,2.12,0,0,0,0,0,0,0,0,0,0,7.43,0,0
 96-106,0,0,0,2.19,1.09,2.19,2.19,1.09,10.93,0,0,0,0,0,48.09,1.09,3.28,3.28,2.19,1.09,0,0,0,0,0,0,0,0,0,2.19,13.11,1.09,0
108-118,0,0,0,2.3,0,3.83,0,0.77,13.02,0,0,0,0.77,2.3,35.23,0,0,3.06,3.83,0.77,0,0,0,0,0,0,0,0,0,0.77,8.43,0,0.77
120,0,0,0,0,0,1.96,0,1.96,7.84,0,0,0,0,1.96,21.56,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,15.68,0,1.96
