stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,9.44,0,15.73,3.15,0,9.44,0,0,0,0,0
 14-21,0,0,0,6,3,1,0,0,0,2,0,0,0,0,0,2,7,0,0,0,0,2,0,3,1,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0.82,0,0.82,0,0,0,3.28,0.82,11.49,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,5.64,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0,0,2.87,0,6.31,0,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,9.82,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,1.96,0,0,2.94,0,0,0,0,0,2.94,0.98,60.86,0,1.96,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,8.5,0,0,1.06,0,0,0,1.06,0,1.06,1.06,32.92,0,0,0,0,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,2.19,0,5.46,0,0,3.28,0,0,0,0,0,5.46,1.09,29.51,0,2.19,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0.77,0,3.83,0,0,0,0,0,0.77,0,0.77,1.53,0,36,0,2.3,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,1.96,3.92,0,1.96,3.92,0,0,0,0,0,3.92,0,47.03,0,0,0,0,0,0,0,0,0,0,0
