stage,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,1
 24-34,0,0.82,0,0,16.42,0,0,1.64
 36-46,0,0,0,0,28.2,0.81,0,3.22
 48-58,0,5.16,0,0,33.85,0,0,6.89
 60-70,0,11.78,0.98,0,54.97,0,0,7.85
 72-82,0,27.49,0.98,4.91,58.9,0,0,1.96
 84-94,0,18.05,1.06,1.06,45.67,0,0,3.19
 96-106,0,13.11,0,0,18.58,1.09,1.09,1.09
108-118,0.77,10.72,2.3,1.53,19.15,0.77,0,0.77
120,1.96,7.84,1.96,1.96,29.4,1.96,0,0
