stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1014.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,594.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,15.77,0,0,0,68.35,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,396.94,0,0,0,160.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,12.59,0,9.44,0,59.79,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,572.75,12.59,0,0,204.55,0,0,0,0,25.18,0,3.15,0,0,0,0,0
 14-21,0,0,0,7,51,9,0,42,0,0,11,2,0,1,0,2,0,1,0,0,44,0,0,19,497,5,2,5,9,0,6,0,28,4,0,28,160,0,2,0,0
 24-34,0,0,0,2.46,22.16,2.46,0,135.44,0,4.93,19.7,2.46,0,1.64,0.82,0,4.1,3.28,2.46,0,80.44,0,0.82,27.09,622.21,2.46,3.28,10.67,0,0.82,6.57,0,0,2.46,0,3.28,127.23,0,5.75,0,1.64
 36-46,0,0,0.81,1.61,9.67,0,0,141.8,0,0.81,12.89,1.61,0,2.42,0.81,0,0.81,0,0.81,0,57.2,0,4.83,13.7,277.15,0,4.03,2.42,0,0,3.22,0.81,0,0,0,0,61.23,0,1.61,0,0
 48-58,0,0,0,0.57,10.9,0,0,115.91,0,1.15,13.77,1.72,0,1.15,2.87,0,1.15,0.57,1.15,0.57,71.73,0,2.87,14.35,120.5,0.57,1.15,1.15,0,0,2.3,0,0,0,0,0,16.07,0,3.44,0,0.57
 60-70,0.98,0,0,0,10.8,0,0,73.61,1.96,0,19.63,0.98,0,0,0,0,0.98,0.98,0,0.98,56.93,0.98,3.93,11.78,60.85,0,1.96,0,0,0,3.93,0,0,0,0,0,8.83,0,4.91,0,0
 72-82,0,0,0,0,10.8,1.96,0,35.34,0,4.91,33.38,2.94,0,0.98,0,0.98,0,0,0.98,0,104.06,0.98,0.98,15.71,72.64,0.98,3.93,0,0,0.98,0.98,0,0,1.96,0,0,4.91,0.98,10.8,0,2.94
 84-94,0,0,0,0,20.18,1.06,1.06,37.17,4.25,7.43,15.93,3.19,0,1.06,5.31,2.12,2.12,1.06,0,0,60.54,0,7.43,21.24,67.97,2.12,2.12,3.19,0,2.12,13.81,0,0,2.12,1.06,0,3.19,0,3.19,2.12,1.06
 96-106,0,0,0,0,14.21,2.19,0,29.51,2.19,6.56,24.04,2.19,0,2.19,7.65,2.19,2.19,2.19,1.09,0,61.2,0,0,7.65,65.57,1.09,3.28,6.56,0,1.09,15.3,0,0,0,0,0,3.28,0,9.84,0,0
108-118,0,0,0,0,14.55,0.77,0.77,29.87,5.36,4.6,30.64,1.53,0,0.77,2.3,1.53,3.06,0,1.53,0,71.23,0.77,0.77,22.21,65.87,0,2.3,2.3,0,0.77,18.38,0,0,0,0,0,3.06,0,6.89,0.77,3.83
120,0,0,0,0,31.36,3.92,0,39.2,3.92,1.96,19.6,3.92,0,1.96,5.88,1.96,0,1.96,1.96,0,58.79,1.96,1.96,9.8,52.91,1.96,3.92,1.96,0,0,15.68,0,0,0,3.92,0,3.92,0,11.76,1.96,1.96
