stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,329.45,1818.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,570.06,4119.11,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,79.69,42.91,0,0,61.3,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,136.69,94.63,0,105.15,0,0,223.44,0,0,0,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0,1608.77,191.9,0,0,1700.78,0,5.26,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,56.65,0,179.38,0,15.73,270.64,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,1730.83,107,0,0,1551.46,0,3.15,3.15,9.44,132.17,0,15.73,3.15,0,0,0,0,0
 14-21,0,2,0,7,468,101,55,0,2,0,15,28,2,2,0,0,0,0,0,0,114,0,0,90,597,39,2,21,125,0,5,1,419,33,9,342,377,0,0,12,0,0
 24-34,0,0,0,2.46,109.99,2.46,89.47,0,8.21,9.03,20.52,4.93,0,0,3.28,10.67,0,8.21,1.64,0.82,114.92,2.46,2.46,49.25,552.44,13.13,7.39,13.95,0,0,13.95,0,0,3.28,1.64,55.82,229.02,0,0,14.78,0,1.64
 36-46,0,0,0.81,0,35.45,4.03,91.04,0,0,8.06,32.23,0.81,0,0.81,1.61,4.03,0,8.06,0.81,0,101.51,4.03,3.22,39.48,439.9,4.83,1.61,5.64,0,0.81,4.03,0,0.81,4.83,1.61,0,164.36,0,0,5.64,0,1.61
 48-58,0,0,0,0,22.38,1.15,63.12,0,5.74,16.07,43.61,0,0,2.3,0.57,1.72,1.15,4.59,0,0.57,111.89,3.44,8.03,26.97,275.43,0.57,2.87,8.61,0,0.57,2.3,0,0,0.57,1.72,0,117.63,0,0,6.31,0.57,1.15
 60-70,0.98,0,0.98,0,41.22,0.98,102.08,0.98,6.87,18.65,62.82,1.96,0.98,1.96,4.91,1.96,0.98,10.8,0,0,162.93,3.93,7.85,20.61,334.7,0.98,0.98,10.8,0,0.98,4.91,0,0,0,2.94,0,92.26,1.96,0.98,11.78,1.96,0.98
 72-82,0,0,0.98,0,49.08,0,101.11,2.94,5.89,29.45,96.2,8.83,0,1.96,3.93,3.93,0,9.82,0,0.98,210.08,2.94,8.83,39.27,256.21,0,6.87,15.71,0,1.96,9.82,0,0,0.98,0,0,32.39,2.94,4.91,14.72,0.98,0.98
 84-94,0,0,0,0,81.78,0,84.96,0,16.99,20.18,61.6,6.37,0,1.06,4.25,9.56,3.19,10.62,0,1.06,108.33,1.06,6.37,28.68,133.82,0,4.25,18.05,1.06,0,16.99,0,0,1.06,1.06,0,16.99,12.74,5.31,10.62,6.37,0
 96-106,1.09,0,1.09,1.09,107.1,1.09,67.76,1.09,12.02,21.86,73.22,15.3,0,1.09,4.37,12.02,0,14.21,2.19,0,127.86,5.46,9.84,18.58,158.46,0,8.74,15.3,0,4.37,29.51,0,0,0,2.19,0,8.74,22.95,4.37,21.86,10.93,0
108-118,0.77,0,0.77,0,80.43,1.53,46.72,1.53,15.32,16.85,81.19,17.62,0,1.53,9.96,14.55,2.3,12.26,2.3,0.77,117.96,3.83,3.83,26.81,165.45,1.53,7.66,14.55,0,3.83,13.79,0,0,3.06,3.06,0,6.13,40.6,0,13.02,2.3,1.53
120,0,0,1.96,0,82.31,1.96,31.36,1.96,5.88,9.8,121.51,21.56,0,0,9.8,13.72,1.96,19.6,3.92,0,123.47,1.96,7.84,31.36,197.94,0,9.8,17.64,0,1.96,13.72,0,0,1.96,3.92,0,11.76,21.56,1.96,19.6,5.88,0
