stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,73.6,10.51,0,575.69,0,0,15.77,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,410.08,70.98,0,320.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,764.71,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,355.61,56.65,0,298.96,0,0,3.15,15.73,0,25.18,0,0,0,0,0,0
 14-21,0,0,6,104,227,17,24,0,0,0,0,86,2,0,0,0,1,2,0,21,0,42,33,86,7,57,0,0,40,3,170,274,84,0,0,2,0,7
 24-34,0,0,3.28,2.46,28.73,0,81.26,0,0,4.93,0,3.28,0,0,0,0,15.6,2.46,2.46,52.53,0,59.92,24.63,15.6,2.46,0,0,0.82,0.82,0,92.76,49.25,63.21,0,0,7.39,0,32.01
 36-46,0,0,3.22,0,8.86,0.81,88.62,3.22,1.61,17.72,0,0,0,1.61,0,0,30.62,0,0.81,39.48,0.81,25.78,20.14,2.42,0,0,0,2.42,0,0,27.39,0,11.28,0,0,5.64,0,37.87
 48-58,0,0,2.3,0,10.33,0,82.05,0,1.15,9.18,0.57,0,0,0,0,0,46.48,0.57,0,36.72,3.44,5.16,14.92,0,0.57,0,0,0.57,0,0,2.3,0,4.59,0,0,2.3,1.72,17.21
 60-70,0,0,0,0.98,0,0,81.47,1.96,5.89,6.87,9.82,0,0,0,0,0,76.56,0,0.98,46.13,1.96,3.93,13.74,0.98,0,0,0.98,1.96,0,0,0,0,5.89,0,0.98,1.96,0.98,5.89
 72-82,0,0,0.98,0,3.93,0,72.64,2.94,1.96,5.89,16.69,0,0,0,0,0.98,91.29,0,0,93.26,1.96,3.93,26.5,0,0,0,0,0,0,0,0,0,1.96,0.98,1.96,3.93,14.72,0.98
 84-94,0,0,2.12,0,2.12,0,52.04,2.12,2.12,11.68,11.68,1.06,0,1.06,0,0,130.63,0,0,91.34,2.12,2.12,15.93,1.06,0,0,0,1.06,0,0,0,0,3.19,0,2.12,2.12,11.68,3.19
 96-106,0,0,0,1.09,4.37,1.09,52.46,1.09,4.37,5.46,34.97,0,0,0,4.37,0,114.75,1.09,0,98.36,2.19,1.09,15.3,1.09,0,0,1.09,2.19,0,0,1.09,0,0,1.09,1.09,5.46,19.67,4.37
108-118,0,0,0,0,1.53,0.77,45.19,4.6,7.66,6.89,23.74,0,0,0,0,0.77,160.09,0.77,0.77,68.17,3.06,2.3,13.79,0,0,0,2.3,0,0,0,0,0,2.3,0,0.77,1.53,11.49,3.06
120,0,0,0,0,7.84,0,35.28,5.88,5.88,11.76,23.52,0,0,0,0,1.96,82.31,1.96,0,90.15,1.96,5.88,19.6,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,39.2,0
