stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,33,11,1,0,0,1,0,16,2,2,0,20,8,4,0,0,0,0,0
 24-34,0,0,104.25,0,0,9.03,0,1.64,0,0,0,0,3.28,1.64,2.46,0,0.82,0,0,54.18,3.28,0,38.58,28.73,0.82,0,0,0,0,165.81,0,0,0,5.75,1.64,6.57,0,0,4.1,0,0.82
 36-46,0,0,77.34,0.81,0,4.83,0,6.45,1.61,1.61,1.61,0,5.64,2.42,0.81,0,0,0,0,42.7,1.61,0,15.31,16.92,0,0.81,0.81,0,0,197.39,1.61,0,0,2.42,0,2.42,0,1.61,8.86,0,0
 48-58,0,0,74.02,0,0,14.35,0,24.1,1.72,4.59,0,0,6.89,5.16,0,0,1.72,0.57,0,69.43,1.72,5.16,16.07,32.13,0,0,0,0,0,137.71,0.57,0,0,0,0,3.44,0,1.72,15.49,0,0
 60-70,0,0,122.69,0.98,0,11.78,0.98,20.61,0.98,3.93,0,0.98,1.96,9.82,2.94,0,0.98,0,0,118.76,1.96,5.89,17.67,22.58,0,0.98,0,0,0.98,113.86,0.98,0,0,0,0,3.93,0,5.89,15.7,0.98,1.96
 72-82,0,0,153.14,1.96,0,19.63,1.96,18.65,4.91,6.87,4.91,0,5.89,12.76,2.94,1.96,9.82,0,0,184.55,2.94,6.87,13.74,31.41,0,0,1.96,0,1.96,144.3,0,0,0,0.98,0,4.91,0.98,9.82,32.39,10.8,0.98
 84-94,0,0,245.33,4.25,1.06,24.43,1.06,43.54,1.06,4.25,9.56,1.06,4.25,14.87,5.31,2.12,2.12,1.06,0,116.82,7.43,7.43,11.68,11.68,1.06,7.43,4.25,0,0,369.59,0,0,1.06,1.06,0,5.31,2.12,5.31,31.86,5.31,2.12
 96-106,0,1.09,267.75,6.56,1.09,16.39,2.19,62.29,4.37,16.39,21.86,0,8.74,31.69,12.02,0,7.65,2.19,2.19,160.65,2.19,9.84,13.11,29.51,1.09,5.46,3.28,0,2.19,300.53,0,0,2.19,0,0,5.46,2.19,14.21,37.16,8.74,2.19
108-118,0,0.77,225.19,3.83,2.3,11.49,1.53,72.77,2.3,13.02,18.38,0,3.83,28.34,4.6,1.53,6.89,3.83,0,117.96,6.89,5.36,9.19,31.4,2.3,1.53,6.89,0,0.77,238.21,0,0,0.77,1.53,0,0,7.66,3.83,34.47,8.43,1.53
120,0,0,152.86,5.88,0,11.76,1.96,56.83,3.92,7.84,13.72,0,9.8,17.64,3.92,1.96,5.88,3.92,0,76.43,3.92,3.92,13.72,21.56,3.92,3.92,7.84,0,0,158.74,0,0,0,0,0,1.96,1.96,5.88,33.32,1.96,0
