stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,20,0,0,3,4,0,0,0,0,1,1,1,1,0,0,0,0,0
 24-34,0,0.82,0.82,0.82,0,1.64,0,0,0,0,0,0,1.64,0,0,0.82,24.63,0.82,0,8.21,8.21,0,0,0,0,0,0,0,4.1,0,0,0.82,0,0
 36-46,0,1.61,0,0.81,0.81,3.22,0,1.61,0,0,0,0,3.22,0,0,0,31.42,0,0.81,3.22,9.67,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,2.87,0,4.59,3.44,1.72,0,0,0,0,9.18,0,0,0,27.54,0,0,5.74,7.46,0,0,0,0,0,0,0,1.72,0,0.57,0,0,0
 60-70,0,0,2.94,3.93,0,6.87,3.93,1.96,0,0,0.98,0,11.78,0,0,0,44.17,0,0.98,2.94,5.89,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,3.93,3.93,6.87,0,6.87,18.65,1.96,0,0.98,0,0,28.47,0.98,0,0,119.76,0,0.98,13.74,5.89,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0
 84-94,0,3.19,1.06,8.5,0,7.43,9.56,2.12,2.12,0,1.06,2.12,44.61,1.06,1.06,0,61.6,1.06,1.06,2.12,3.19,1.06,0,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,4.37,3.28,12.02,0,15.3,9.84,3.28,4.37,0,2.19,0,50.27,0,2.19,0,131.14,2.19,0,9.84,12.02,0,2.19,0,0,0,0,0,0,4.37,4.37,1.09,0,0
108-118,0,4.6,0.77,6.89,1.53,7.66,13.02,2.3,3.06,0,4.6,0.77,69.7,0,0,0.77,98.04,0,0,6.89,9.19,0,1.53,0,1.53,0,0,0,0,6.13,0.77,0,0,1.53
120,0,7.84,1.96,9.8,0,9.8,7.84,1.96,1.96,0,1.96,1.96,54.87,0,0,0,86.23,0,1.96,1.96,11.76,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
