stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,33,9,0
 24-34,0,0,0,0,0,4.1,0,0,0,0.82,0,1.64,9.85,2.46,0.82,0.82,0,0,0,22.98,16.42,1.64
 36-46,0,0,0,0,0,11.28,0,0,0,0,0,2.42,6.45,5.64,0,0,0,0,0,8.06,2.42,1.61
 48-58,0,0,0,0,1.72,14.92,0,0.57,0,0,0,2.3,9.18,2.3,0,0,0,0,0,8.61,0,0.57
 60-70,0,0.98,0,0,0.98,11.78,0,0,0,0.98,0,0,2.94,3.93,0,0,0,0,0.98,5.89,0,0
 72-82,0,0,0,0,6.87,7.85,0,0.98,0,0.98,0,0,9.82,0.98,0,0,0.98,0,0.98,4.91,0,0.98
 84-94,0,0,0,0,2.12,19.12,1.06,0,0,3.19,0,2.12,3.19,0,0,0,0,2.12,0,3.19,0,0
 96-106,0,1.09,2.19,0,2.19,19.67,1.09,2.19,0,5.46,1.09,2.19,7.65,1.09,0,0,0,0,0,8.74,0,1.09
108-118,0,0,0,0.77,1.53,16.09,0,0,1.53,0.77,0,6.89,8.43,3.06,0,0,0,0,0,5.36,0,0
120,0,0,0,0,1.96,17.64,0,1.96,0,0,0,7.84,3.92,0,0,0,0,0,0,1.96,0,0
