stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,4,1,0,8,0,0,0,0
 24-34,0,0,0,3.28,3.28,3.28,0,0,0,60.74,0,0,0,0.82,0,0,0,0,4.1,1.64,5.75,26.27,0.82,0,0,0,0,222.45,0,0.82,52.53,0,0.82,0,0
 36-46,0,0.81,0,1.61,2.42,4.03,0,0.81,0,125.68,0,0,0,0.81,4.83,0,0,1.61,5.64,1.61,4.03,33.84,0,0,0,0,0,400.42,0,0.81,49.15,0,1.61,0,0
 48-58,0,0,0,2.3,0.57,9.18,0,2.87,0,111.32,0,0.57,0,0.57,12.05,0.57,0,0,10.33,4.02,2.3,33.28,0,1.15,0.57,0,0,430.93,0,0,56.81,0,1.72,0,0
 60-70,0,0,0,5.89,0,22.58,0,1.96,0,56.93,0,0,0,3.93,40.24,0,0,0,7.85,3.93,0,61.84,0.98,0,1.96,0,0,440.7,0,0,40.24,0,0,0,1.96
 72-82,0,0,0,21.6,1.96,28.47,0,4.91,0,69.7,7.85,0,0,1.96,53.99,0,0,0.98,14.72,10.8,2.94,108.96,0.98,0,4.91,0,0,522.24,0,0,64.79,0.98,1.96,0,0.98
 84-94,0,0,0,39.3,1.06,20.18,0,12.74,0,57.35,7.43,0,3.19,11.68,116.82,0,0,2.12,12.74,20.18,0,98.77,0,1.06,1.06,0,0,1496.41,1.06,0,38.23,0,2.12,0,2.12
 96-106,0,0,1.09,45.9,2.19,31.69,1.09,8.74,1.09,74.31,20.76,0,2.19,6.56,107.1,1.09,2.19,0,19.67,18.58,0,150.81,0,4.37,10.93,0,1.09,1263.33,0,0,57.92,1.09,2.19,4.37,1.09
108-118,0,0.77,0,58.98,1.53,36.77,0,12.26,1.53,62.81,31.4,0,0.77,6.89,162.38,0.77,4.6,0.77,15.32,13.79,3.06,151.66,0,1.53,4.6,0,0,821.11,0,0.77,41.36,1.53,0.77,1.53,3.06
120,0,0,0,39.2,0,29.4,0,9.8,0,74.47,13.72,0,0,3.92,90.15,0,0,0,9.8,7.84,0,164.62,0,0,3.92,0,1.96,329.24,1.96,0,76.43,0,0,0,0
