stage,blastomeres,epidermis,fin.epithelia,glial,gut,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,7.39,0,0,0,0,0.82,0,0,0,2.46,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0.81,0.81,0,0,0.81,0.81,0,0,0
 48-58,0,0,0,0,0,0,1.15,0.57,0.57,0,0,0,0,0,0
 60-70,0,0.98,0,0,0.98,0,0.98,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,0,1.96,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,2.19,0,2.19,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,0,1.53,0,1.53,0,0,0,1.53,1.53,0,0,0.77
120,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96
