stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,212.93,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,110.14,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,6,0,28,0,0,0,1,1,0,0,0,0,3,0,0,1,56,0,0,0,0,0,0,1,0,0,3,16,0,0,2,0
 24-34,0,0,0,0,1.64,0,10.67,0,0,0,0,0,0,0,0.82,0,3.28,0,0,2.46,92.76,0,0.82,0.82,0,0,0,0,0,0.82,0,19.7,0,0,0.82,0
 36-46,0,0,0,0,2.42,0,28.2,0,0.81,6.45,0,0,0,0,0,0,8.06,0,0,0,145.83,0,0.81,0.81,0,0,0,0,0,0,0,27.39,0,0,0,0
 48-58,0,0,0,0,0.57,0,43.61,1.15,0.57,9.75,0,0,0,0,0,0.57,10.33,0.57,0.57,1.15,127.96,0.57,0.57,0.57,0,0,0,0,0,0,0,21.8,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,49.08,0.98,0,7.85,0,0,0,0,0,0,9.82,0,0,0.98,106,0,0,0,0,0,0.98,0,0,0,0,15.7,0,0.98,0.98,0
 72-82,0,0,0,0,0,0,36.32,0,0,6.87,0,0.98,0,0,0.98,0,16.69,0,0,4.91,99.15,0,0,0.98,0,0,0,0,0.98,0,0,8.83,0,0.98,0,0.98
 84-94,0,0,0,0,0,1.06,15.93,1.06,0,0,0,0,1.06,1.06,0,0,8.5,0,0,0,39.3,0,0,0,0,0,1.06,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,1.09,1.09,14.21,0,0,5.46,0,0,2.19,1.09,0,0,4.37,0,1.09,0,29.51,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,2.3,0,9.96,1.53,0,4.6,0,0,0.77,1.53,0,0.77,5.36,0,0,0,25.28,0.77,0,1.53,0,0,0,0,0,0,0,0.77,0,0,1.53,0.77
120,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,3.92,0,0,0,21.56,0,0,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,0
