stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,18,6,12,0,0,8,0,1,0,1,0,0,0,14,0,10,182,3,2,0,2,7,12,18,47,1,0,0
 24-34,0,6.57,4.1,53.36,0,0,4.1,0,0.82,0,0.82,0,0,0,15.6,0,4.1,379.24,0,1.64,7.39,0,6.57,0,3.28,85.37,5.75,0,0
 36-46,0,0,0.81,66.06,0,0,5.64,0,0,0,0.81,0,0,0,9.67,0,4.83,178.05,0,0,1.61,0,1.61,0,0,41.09,0,0,0
 48-58,0,2.3,1.72,151.48,1.15,0,8.03,0,0,0,0,0,0.57,0,27.54,1.15,2.87,137.14,0,1.15,1.72,0,0,0,0,25.25,1.72,0,1.15
 60-70,0,4.91,0.98,52.02,0.98,0,2.94,0,0,0.98,0,0.98,0,0.98,16.69,0.98,0.98,44.17,0,0.98,0,0,1.96,0,0,1.96,0.98,0,0
 72-82,0,3.93,0,37.3,0,0.98,10.8,0.98,0,0,0,0,0.98,0,8.83,0.98,0.98,49.08,0,0.98,0,0,0.98,0,0,1.96,0.98,0,0
 84-94,0,1.06,1.06,26.55,1.06,0,4.25,1.06,0,0,1.06,0,0,0,13.81,3.19,4.25,30.8,0,0,1.06,0,0,0,0,0,2.12,1.06,0
 96-106,0,1.09,0,15.3,0,0,2.19,0,0,0,0,0,0,0,2.19,0,1.09,21.86,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0.77,3.83,11.49,0,0,3.83,1.53,0,0.77,0,0,0,0,0.77,0,1.53,29.11,0,0,0,0,0.77,0,0,0.77,0,0,0
120,0,3.92,5.88,45.08,0,0,3.92,3.92,0,5.88,0,0,1.96,0,5.88,0,5.88,50.95,1.96,0,0,0,1.96,0,0,0,0,0,0
