stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,1,7,1,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,6,65,2,0,0,1,0,0,5,2,0,13,31,0,0,2,0,0
 24-34,0.82,0,3.28,0.82,0,5.75,0,0,0.82,3.28,0,0.82,0.82,0,0.82,0,0.82,0,0,8.21,0.82,0,3.28,115.74,1.64,2.46,0.82,0,0,5.75,0,0.82,1.64,1.64,18.88,0,0,4.1,0,0
 36-46,0,0,0.81,0,0,26.59,0,0,1.61,6.45,0,0,0,0,0,0,0,0.81,0,9.67,0,3.22,5.64,150.66,2.42,2.42,0,0,0,4.03,0,0.81,0,0,42.7,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,18.94,0,0,1.72,6.89,0,0,0.57,0,0,0,0,0,1.72,14.92,1.15,0,3.44,79.19,0,1.15,2.87,0,0,2.87,0,0,0,0,14.35,0,0,1.15,0,0
 60-70,0,0,1.96,0,0,43.19,2.94,0,0.98,10.8,0,0,0.98,0,0,0.98,0.98,0,0.98,21.59,0,0,0,88.34,0.98,1.96,0.98,0,0,4.91,0,0,0,0,19.63,0,0,3.93,0,0
 72-82,0.98,0,2.94,0,0,35.34,0,0.98,0.98,12.76,1.96,0.98,0,0.98,0.98,0.98,0,0,0,27.49,0,0.98,4.91,67.73,0,0,2.94,0,0,7.85,0,0,0,0,10.8,0.98,0,0.98,1.96,0.98
 84-94,0,0,6.37,2.12,0,32.92,0,1.06,1.06,10.62,1.06,1.06,1.06,1.06,0,1.06,1.06,1.06,1.06,24.43,0,2.12,6.37,37.17,0,0,3.19,0,0,23.36,0,1.06,0,0,6.37,0,1.06,0,0,1.06
 96-106,0,0,4.37,0,0,19.67,0,2.19,0,12.02,2.19,0,0,2.19,1.09,2.19,0,0,0,22.95,1.09,0,4.37,26.23,0,4.37,3.28,0,0,18.58,0,0,0,0,6.56,0,0,4.37,1.09,1.09
108-118,0,0.77,6.89,1.53,0.77,15.32,0,1.53,0.77,12.26,2.3,0,0,0.77,1.53,0.77,0,0,0,20.68,0,0.77,3.06,49.02,0,1.53,2.3,0,0.77,6.13,0,0,0,0,5.36,0,0.77,3.06,0.77,0
120,0,0,3.92,0,1.96,13.72,1.96,0,0,13.72,0,0,1.96,0,0,0,0,3.92,0,11.76,0,0,3.92,48.99,0,0,1.96,0,0,13.72,0,0,0,0,1.96,0,0,1.96,0,1.96
