stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,41,5,29,0,0,3,4,0,1,0,0,0,0,0,10,0,0,12,241,6,1,5,4,3,19,1,3,56,53,0,0,0,0,0
 24-34,0,0,0.82,1.64,4.93,0,16.42,0,0,2.46,0,0,0,0,1.64,0,0.82,0,13.95,0,0,4.1,164.99,0,0.82,4.93,0,12.31,0,0.82,0,0.82,30.37,0,0,1.64,0,0
 36-46,0,0,0,0,5.64,0,10.47,0,0,5.64,0,0,1.61,0,0,0.81,0,0.81,11.28,1.61,0,3.22,78.96,2.42,0,2.42,0,4.03,0,0,0,0,16.11,0,0,1.61,0,0
 48-58,0,0,0.57,0,3.44,0,6.89,0,0,9.75,0,0,0,0,0,0,0.57,0,13.2,0.57,0,3.44,41.31,0.57,1.15,1.15,0,2.87,0,0,0,0,6.31,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,16.69,0,0,33.37,0,0,0,0,0,0,0.98,0,20.61,0,1.96,0,34.35,0.98,0,0.98,0,8.83,0,1.96,0,0,9.82,0,0,1.96,0.98,0
 72-82,0,0,0,0,3.93,0,9.82,0.98,2.94,25.52,1.96,0,0,0.98,0,0,4.91,0,29.45,0,0.98,2.94,31.41,0.98,0.98,1.96,0,3.93,0,0,0,0,2.94,0,0,1.96,0,0
 84-94,0,0,0,0,4.25,0,11.68,1.06,1.06,11.68,1.06,1.06,0,2.12,0,0,0,0,12.74,0,0,5.31,15.93,0,2.12,4.25,0,5.31,0,0,0,0,3.19,0,0,2.12,1.06,0
 96-106,0,0,0,0,2.19,0,10.93,1.09,0,19.67,2.19,0,1.09,1.09,1.09,2.19,3.28,0,18.58,0,1.09,3.28,17.49,0,1.09,4.37,0,6.56,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,8.43,0,3.83,0.77,0.77,26.81,0.77,0,0,0.77,0,0,1.53,0,20.68,0,1.53,1.53,22.98,1.53,0,1.53,0,0.77,0,0,0.77,0,0.77,0.77,0.77,3.06,1.53,0
120,0,0,0,0,11.76,0,17.64,1.96,1.96,21.56,1.96,0,0,0,0,0,3.92,0,29.4,0,0,0,15.68,1.96,1.96,1.96,0,7.84,0,0,0,0,0,3.92,1.96,1.96,0,0
