stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,97.26,7.89,0,0,55.2,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,113.29,3.15,0,0,40.91,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,2,6,0,0,9,0,1,0,0,1,0,0,2,0,8,0,3,72,1,1,1,1,1,0,10,1,11,33,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,9.85,0,0.82,4.1,0,0,0.82,0.82,0,0.82,0,0,0,7.39,0,4.1,61.56,0.82,4.1,0,0,1.64,0,0,0,0,23.8,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,41.09,0,0,4.03,0,0,0,0,0,0,0,0,0.81,8.86,0,1.61,58.01,0,4.83,0.81,0,0,0,0,1.61,0,14.5,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,108.45,0,0,4.59,0,0,0,0.57,0,0,0,0,0,14.92,0.57,1.15,57.95,0,2.87,0.57,0,1.15,0,0,0.57,0,15.49,0,0,0,0,0.57
 60-70,0.98,0,0,0,3.93,0.98,207.1,0,0.98,1.96,0,0,0,0.98,0,0.98,0,0,0,7.85,0.98,0.98,50.06,0,1.96,1.96,0,0,0,0,0,0,8.83,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,304.32,0,0,15.71,0,0,0,0,0,0,0.98,0,0,23.56,0.98,3.93,55.95,0,3.93,1.96,0,1.96,0,0,0,0,8.83,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,2.12,1.06,286.75,1.06,1.06,11.68,0,0,0,1.06,1.06,1.06,1.06,0,0,13.81,0,2.12,31.86,0,2.12,0,0,0,0,0,0,0,3.19,0,0,2.12,0,0
 96-106,0,0,0,0,4.37,0,229.5,0,0,2.19,2.19,0,0,3.28,0,2.19,1.09,1.09,0,8.74,0,1.09,22.95,0,1.09,2.19,0,2.19,0,0,1.09,0,1.09,0,1.09,1.09,1.09,1.09
108-118,0,0,0,0,0.77,0.77,139.41,0,0,4.6,0,0,0,0.77,0.77,2.3,1.53,0.77,0,6.13,0,2.3,31.4,0,2.3,8.43,0,1.53,0,0,0.77,0,0.77,0.77,0.77,0,0,1.53
120,0,0,0,0,1.96,1.96,160.7,0,0,3.92,0,0,0,0,0,0,1.96,0,0,7.84,0,0,15.68,0,1.96,1.96,0,3.92,0,0,1.96,0,1.96,0,0,3.92,0,0
