stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,13,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,2,16,2,0,0,0,0,0,3,0,0,10,6,0,0,1,0,0
 24-34,0,0,2.46,7.39,4.1,13.95,105.07,0,0.82,0,0,0,0,0,1.64,0,0.82,1.64,0.82,12.31,0,0.82,17.24,141.19,2.46,1.64,3.28,0,0.82,7.39,0,0.82,1.64,41.86,20.52,0,0,11.49,0,2.46
 36-46,0,0,0.81,1.61,0.81,18.53,224.78,0.81,0,4.03,0.81,0,0.81,0.81,0,0,0,1.61,0.81,17.72,0,0,8.86,120.85,0,0,4.83,0,0,5.64,0,0.81,0.81,1.61,26.59,0,0,8.06,0,0.81
 48-58,0,0,0,2.3,0.57,51.07,187.63,0,1.72,8.61,0,1.15,0.57,0,0,0,0.57,0,0.57,23.53,0,1.72,10.9,140.58,0.57,0.57,1.72,0,0,6.89,0,0,5.74,0,28.69,0,0,9.75,0,5.16
 60-70,0,0,0,2.94,0,32.39,110.91,0,1.96,7.85,0,0,0,0,0,1.96,0,0,0,12.76,0.98,0,12.76,53,0,0,0,0,0,2.94,0,0.98,1.96,0,7.85,0,0,6.87,0,0
 72-82,0,0,0,0,0,10.8,52.03,0,0.98,5.89,0.98,0,0,0,0,0,0,0,0,11.78,0,0,8.83,30.43,0,0,3.93,0,0,0.98,0,0,10.8,0,2.94,0,0,7.85,0,0
 84-94,0,0,0,0,1.06,26.55,115.76,0,0,7.43,2.12,0,1.06,1.06,0,0,0,1.06,0,10.62,0,0,8.5,23.36,0,0,7.43,0,0,9.56,0,1.06,10.62,0,2.12,1.06,0,12.74,0,2.12
 96-106,0,0,1.09,6.56,13.11,25.14,150.81,1.09,1.09,6.56,3.28,0,1.09,2.19,0,3.28,1.09,3.28,0,17.49,0,0,5.46,36.06,0,0,8.74,0,0,8.74,0,1.09,30.6,0,0,1.09,1.09,14.21,3.28,5.46
108-118,0,0,0,3.83,0.77,13.02,145.53,2.3,1.53,7.66,3.83,0,0,0,0,2.3,0,0,0,12.26,0.77,0,9.96,26.81,0,0,3.83,0,2.3,4.6,0,0,16.85,0,0.77,0,0.77,9.19,0.77,0.77
120,0,0,1.96,1.96,0,7.84,54.87,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,13.72,3.92,0,1.96,3.92,0,0,0,1.96,0,11.76,0,1.96,0,0,5.88,0,1.96
