stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,1,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,1,73,0,1,0,0,0,0,0,12,0,29,0,0,0,0,0
 24-34,0,0,3.28,0,4.93,0,0,12.31,0,0,0,24.63,0,0,0,0,0.82,0,0,0,0,7.39,0,0,3.28,511.39,0.82,0.82,0,0,0,1.64,0,47.61,0,130.52,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,0,10.47,0,0,0,73.32,0,0,0.81,0,0,0.81,0,0,0,7.25,0,0,1.61,1207.7,0,0,0,0,0,0.81,0,29,0,266.68,0,0,6.45,0,0.81
 48-58,0,0,1.72,0,10.33,1.15,0,135.42,0.57,0.57,1.72,184.19,0.57,0,0.57,0,0,0,0.57,0,1.15,42.46,0,0,8.03,2073.16,0,2.87,0.57,0,0,1.72,0,16.64,0.57,453.31,0,0,4.59,0,2.3
 60-70,0,0,1.96,0,8.83,1.96,0,550.63,0,0.98,0,291.51,5.89,0,1.96,0.98,0,1.96,0.98,0.98,0.98,93.24,0,0.98,5.89,3182.09,0.98,1.96,3.93,0,0,3.93,0,15.7,0,424.02,0,2.94,2.94,0.98,2.94
 72-82,0,0,5.89,0,17.67,7.85,0,877.61,2.94,1.96,3.93,417.21,13.74,0,1.96,0.98,0.98,1.96,1.96,0.98,0.98,124.67,1.96,0.98,9.82,2653.43,0,1.96,13.74,0,3.93,2.94,0,39.27,0.98,287.63,0.98,6.87,4.91,2.94,3.93
 84-94,0,0,4.25,0,38.23,2.12,0,505.53,1.06,1.06,3.19,258.08,21.24,1.06,2.12,2.12,0,5.31,2.12,2.12,0,82.84,1.06,6.37,11.68,1340.29,0,2.12,13.81,0,2.12,11.68,0,75.4,1.06,139.13,1.06,9.56,6.37,3.19,1.06
 96-106,0,0,8.74,0,18.58,3.28,1.09,381.4,2.19,6.56,1.09,240.43,32.79,0,3.28,2.19,1.09,0,3.28,3.28,1.09,52.46,0,4.37,7.65,1037.11,0,4.37,9.84,0,2.19,3.28,0,74.31,0,75.41,1.09,2.19,3.28,2.19,2.19
108-118,0.77,0,5.36,0.77,12.26,1.53,0.77,260.43,0.77,0,3.83,215.24,41.36,0,0,2.3,0.77,1.53,0,1.53,0.77,46.72,0,1.53,5.36,1219.41,0,2.3,10.72,0,0,2.3,0,65.11,0,53.62,1.53,0,2.3,2.3,0
120,0,0,1.96,0,19.6,13.72,0,278.29,0,3.92,0,270.45,45.08,0,1.96,3.92,1.96,0,1.96,5.88,1.96,35.28,1.96,0,3.92,1373.81,1.96,1.96,5.88,0,3.92,17.64,1.96,45.08,1.96,50.95,0,0,3.92,0,0
