stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,5.26,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,139.32,13.14,0,0,57.83,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,3.15,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,213.99,3.15,0,0,56.65,0,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,45,1,0,0,0,0,0,0,3,1,4,16,0,1,0,0
 24-34,0,0,0.82,0,2.46,0.82,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0,0.82,7.39,0,0,98.5,0,2.46,0,0,0,0.82,0,0,0,0,28.73,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,9.67,0,0,5.64,0,0,0,0,0,0.81,0,0,0,2.42,0,1.61,145.83,0,1.61,0,0,0,0.81,0,0,0,0,29.81,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0,20.08,0,0,11.48,0,0,0.57,0.57,0.57,0,0,0,0.57,7.46,0,0,161.81,0,1.15,0,0,0,0,0,0,0.57,0,25.25,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,38.28,0,0,11.78,0,0,0,0,0,0,0,0,0,12.76,0.98,0,198.27,0,0.98,0,0,0,0,0,0,0,0,17.67,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,73.62,0,0.98,20.61,0,0,0,0.98,0,0,0,0.98,0,25.52,1.96,2.94,266.03,0,2.94,0.98,0,0,0,0,0,0,0,17.67,0.98,2.94,0,0.98
 84-94,0,0,1.06,0,3.19,0,0,33.99,0,2.12,19.12,1.06,0,0,2.12,1.06,0,0,1.06,1.06,16.99,2.12,0,106.2,2.12,0,0,0,0,1.06,0,0,2.12,0,11.68,0,3.19,3.19,0
 96-106,0,0,2.19,0,3.28,1.09,1.09,21.86,0,0,13.11,0,0,2.19,0,0,0,0,0,0,16.39,0,1.09,77.59,0,3.28,3.28,0,0,2.19,0,0,0,0,4.37,0,1.09,0,0
108-118,0,0,0,0,6.89,1.53,0.77,22.98,2.3,0.77,18.38,0.77,0,0.77,2.3,0,0.77,0,1.53,0,19.15,2.3,1.53,128.68,0.77,3.83,0.77,0,2.3,0.77,0,0,0,0,3.06,0,4.6,0.77,0
120,0,0,0,0,3.92,0,0,29.4,1.96,0,7.84,0,0,1.96,0,0,0,0,0,0,13.72,0,1.96,101.91,1.96,0,0,0,0,3.92,0,0,0,0,3.92,0,0,0,0
