stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,15,2,0,0,1,0,0,1,0,11,5,4,0,0,0,0,0
 24-34,0,0,1.64,8.21,0,0,0,9.03,0.82,3.28,0,1.64,0,0,0.82,6.57,6.57,0,0,6.57,78.8,0,0,0,0,0,9.03,0,0.82,4.1,0,24.63,0,0,1.64,0,0.82
 36-46,0,0,0,7.25,0,0,0,8.86,0,2.42,0,0,0,0.81,0.81,14.5,7.25,0,0.81,0.81,43.51,0,0,0.81,0,0,8.86,0,0.81,0.81,0,21.75,0,0,1.61,0,0.81
 48-58,0,0,0.57,8.61,0.57,0,0.57,13.77,0,0.57,0,0,0,0,0,2.3,10.33,0.57,0,3.44,39.59,0,0,1.15,0,0,5.16,0,0,0,0,14.35,0,0,2.3,0,0.57
 60-70,0,0,0.98,17.67,1.96,0.98,0,13.74,0,0,0,0,1.96,0,0,0.98,14.72,0.98,0,0.98,32.39,0,0,0.98,0,0.98,10.8,0,0.98,0.98,0,2.94,0,0,0.98,0,0
 72-82,0,0,3.93,11.78,0,0,0,64.79,0.98,0,0.98,0,0.98,0,0,0,31.41,0,0.98,3.93,29.45,0,0,0,0.98,0,8.83,0,0,0,0,0.98,0,0.98,0.98,1.96,0
 84-94,0,0,3.19,26.55,1.06,0,0,20.18,0,0,4.25,1.06,2.12,0,0,14.87,11.68,1.06,0,1.06,14.87,1.06,1.06,2.12,0,0,5.31,0,0,2.12,0,2.12,0,0,2.12,0,0
 96-106,0,0,5.46,10.93,0,1.09,1.09,15.3,1.09,0,1.09,0,2.19,0,0,2.19,14.21,0,0,0,16.39,0,1.09,3.28,0,0,9.84,0,0,0,0,2.19,0,0,1.09,1.09,1.09
108-118,0,0,3.83,15.32,0,0.77,0.77,25.28,0.77,0,4.6,0,3.06,0,0.77,6.13,9.96,0,0,1.53,17.62,1.53,0.77,0,0,0,5.36,0,0,0,0,0.77,0.77,0,0.77,0,0.77
120,0,0,5.88,5.88,0,1.96,0,11.76,0,0,0,0,0,0,0,1.96,9.8,0,1.96,0,27.44,0,0,0,0,0,17.64,0,0,0,0,0,0,1.96,1.96,1.96,0
