stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,1.64,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0.98,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,0,1.96,1.96,0,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,1.06,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,3.28,0,1.09,1.09,0,1.09,0,0,0,0,0,0,2.19,0,0
108-118,0,0,2.3,0.77,0,0,3.83,0,1.53,0,1.53,0,0,0,0,0,0,0.77
120,0,1.96,7.84,0,1.96,5.88,17.64,0,3.92,0,5.88,0,0,0,13.72,1.96,1.96,1.96
