stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,224.02,4467.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0
  5-6,165.5,2421.21,0,12.26,0,0,0,0,6.13,0,0,0,0,61.3,0,0,12.26,67.43,0,0,0,0,0,0
  7-9,15.77,5.26,0,18.4,0,10.51,0,0,7.89,0,0,0,0,215.55,0,0,73.6,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,12.59,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,3,1,1,0,0,0,0,1,2,4,0,1,0,0,2,1,0,1,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0,0,0,0,0,0,1.64,0.82,0.82
 36-46,0,0,0,0,0.81,1.61,0.81,0,0,0.81,0,0.81,0,12.89,0.81,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,2.87,0,0,0,0,0,1.15,1.15,5.74,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,17.67,0,0,0,0.98,0,0,0,0,1.96,0
 72-82,0,0,0.98,0,0,7.85,0.98,0,0,0,0,1.96,0,6.87,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,3.19,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0.77,0.77,0,0,0,0,0,6.89,0,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,5.88,0,0,0,0,0,5.88,0,0,0,1.96,1.96,0,0,0,0,0
