stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,12,2,1,3,10,0,0,56
 24-34,0,0,8.21,0,1.64,0,0,0,9.85,0,0.82,0,0,18.88,0.82,0,8.21,18.06,0,0,1.64,0,27.09,0,0,0,6.57,2.46,0,217.53
 36-46,0,0,0,0,0.81,0,0.81,0,6.45,0,0,0,0,16.92,0,0,4.03,16.11,0,0,0,0,10.47,0,0,0,0,3.22,0,149.85
 48-58,0,0,0,0,2.87,0,0,0,12.62,0,0,0.57,0,15.49,0,0,4.59,9.75,0,0,1.15,0,2.87,0,0,0,0,1.15,0,106.15
 60-70,0,0.98,0,0,19.63,0,0,0,13.74,0.98,0,0,0,10.8,0,0,5.89,7.85,0,0,0,0,0,0,0,0,0,0,0.98,89.32
 72-82,0,0,0.98,0,62.83,0.98,0.98,0,20.61,0.98,0,0,0,10.8,0,0.98,10.8,8.83,0,1.96,0.98,0,0.98,0,0,0,0,0,2.94,183.57
 84-94,0,0,0,0,72.22,1.06,0,0,12.74,0,0,0,0,14.87,0,0,9.56,9.56,0,1.06,1.06,0,1.06,0,0,0,0,1.06,2.12,179.48
 96-106,0,1.09,2.19,1.09,36.06,0,0,1.09,31.69,0,0,0,0,9.84,0,0,7.65,16.39,1.09,0,0,1.09,3.28,0,1.09,0,0,0,1.09,203.27
108-118,0,0.77,0,0,9.96,0,0,0.77,10.72,0.77,0.77,0.77,0.77,7.66,0,0,16.09,11.49,0,0,0,0,1.53,0,1.53,0,0,0,0.77,135.58
120,0,1.96,1.96,0,17.64,0,0,1.96,9.8,1.96,0,0,0,3.92,0,1.96,19.6,7.84,0,0,0,0,0,0,0,0,0,0,7.84,97.99
