stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,52.71,1594.53,0,0,0,0,0,0,0,79.07,0,0
  5-6,49.04,551.67,0,0,0,0,18.39,12.26,12.26,12.26,0,0
  7-9,5.26,2.63,5.26,0,5.26,0,63.09,0,26.29,0,0,0
 10-12,0,0,0,0,3.15,0,15.73,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,4.1,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0
