stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,2,8,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,5,51,0,0,3,0,1,4,14,0,5,20,0,0,0,0,0
 24-34,0,0.82,3.28,2.46,0.82,0,18.88,0,0,0,3.28,0,1.64,0.82,3.28,0,0,0,0,10.67,0,0,1.64,154.32,3.28,2.46,0,3.28,0,0,9.85,0,1.64,53.36,0,0,9.03,0,0
 36-46,0,1.61,0,0.81,0.81,0,13.7,0,0,0,4.03,0.81,0,0,4.03,0,0,0,0,7.25,0,0.81,0.81,199.81,8.86,1.61,0,0.81,0,0,6.45,0,0,64.45,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,0,26.97,0,0,0.57,7.46,0.57,0,0.57,0,0,0,1.72,1.15,9.75,0,0.57,0.57,273.13,1.72,1.72,0,1.15,0,0,0.57,0,0,70.58,0,0.57,3.44,0,1.72
 60-70,0.98,0,0,4.91,3.93,0,81.47,0.98,2.94,1.96,5.89,2.94,1.96,0,0,0.98,0,0.98,0,10.8,0.98,0.98,0,297.4,5.89,0,0,3.93,0,0,2.94,0,0,57.91,0,0,3.93,0,0.98
 72-82,0,3.93,0,8.83,7.85,0,196.33,0,0.98,0,17.67,8.83,0.98,0.98,0.98,0.98,0.98,0,0,24.54,0.98,1.96,0.98,312.17,15.71,1.96,0,1.96,0,0,6.87,0.98,0,50.06,0,1.96,13.74,0.98,1.96
 84-94,0,2.12,1.06,7.43,7.43,1.06,142.31,0,2.12,0,20.18,7.43,0,1.06,2.12,1.06,0,1.06,0,20.18,2.12,0,1.06,185.86,12.74,3.19,0,8.5,0,0,6.37,0,0,22.3,2.12,0,9.56,0,0
 96-106,0,2.19,1.09,7.65,7.65,3.28,159.56,0,0,1.09,18.58,17.49,2.19,1.09,3.28,0,1.09,2.19,1.09,22.95,1.09,1.09,1.09,165.02,13.11,5.46,0,13.11,0,0,9.84,0,0,10.93,2.19,0,14.21,1.09,1.09
108-118,0,3.83,0,6.13,0.77,7.66,130.98,0,0.77,0,15.32,9.96,0,2.3,5.36,0,0.77,2.3,0,16.85,0.77,1.53,0.77,175.41,5.36,2.3,0,4.6,0,0,13.79,0,0,3.06,0,0,12.26,0.77,0.77
120,0,0,1.96,27.44,1.96,3.92,90.15,0,1.96,0,7.84,19.6,0,1.96,1.96,0,1.96,1.96,0,1.96,1.96,0,1.96,229.29,7.84,9.8,0,3.92,0,0,9.8,0,0,11.76,3.92,0,17.64,1.96,0
