stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,1.15,0.57,0,0,0,0,0,1.15,0,2.3,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0.98,2.94,0.98,0.98,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,4.91,0,0,0,0.98,0,0.98,0,2.94,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,7.43,1.06,0,0,0,0,1.06,0,4.25,0,0,0,1.06,0,0,1.06
 96-106,0,1.09,0,1.09,1.09,0,0,27.32,9.84,0,1.09,3.28,0,1.09,0,7.65,0,0,0,0,1.09,0,1.09
108-118,0,0,0.77,0.77,0,0.77,0,37.53,9.19,0.77,0,3.83,0,0,0,3.06,0.77,0,0,0.77,0,0,2.3
120,0,0,0,1.96,5.88,0,0,54.87,13.72,0,0,3.92,0,1.96,1.96,5.88,0,0,0,0,0,0,0
