stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,7.89,0,2.63,0,0,0,0,49.95,0,15.77,0,0,0,0
 10-12,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,69.23,3.15,22.03,0,0,9.44,0
 14-21,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,1.61,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,5.74,0.57,0,0,0,1.15,0.57,2.3,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,0.98,0,0.98,0,2.94,0,4.91,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,4.37,0,0,0,3.28,1.09,0,5.46,0,0,1.09,0,0,0
108-118,0,0,0.77,0.77,0,1.53,0.77,0,0,3.06,1.53,0,3.06,0,0,0.77,2.3,0,0
120,0,0,0,0,0,0,0,0,0,7.84,0,0,1.96,0,0,0,1.96,0,1.96
