stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,0,0,0,0,126.18,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,249.73,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,72.38,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,132,41,0,4,0,0,0,5,17,2,1,0,0,0,0,0,3,10,0,0,1,14,42,0,0,1,0,10,35,0,234,0,0,7,0,9
 24-34,0,0,0,0,120.67,3.28,0,24.63,0.82,3.28,0,57.46,2.46,0,1.64,0,0,4.1,0.82,0,3.28,13.13,1.64,0,4.93,100.14,17.24,0,1.64,0,0,39.4,34.48,0.82,293.05,0,0,35.3,0,4.93
 36-46,0,0,0,0,45.12,0,0,14.5,0,4.03,0.81,70.9,0,0.81,0.81,0,0,3.22,0,0,0,26.59,1.61,0,6.45,106.35,16.92,0,0.81,0,0,37.87,20.14,0,178.86,0,0,16.11,0,0
 48-58,0,0,1.15,0,17.79,0,0,37.3,0,1.15,1.72,65.41,0,0,1.15,0,0,2.3,0,0,0,53.36,0.57,0,5.74,90.66,8.61,0,0.57,0,0,19.51,7.46,0,141.73,0,0,10.33,0,0
 60-70,0,0,0,0,24.54,0,0,36.32,0,0.98,5.89,37.3,1.96,0,0,0,0,3.93,0,0,0,121.71,0,0.98,4.91,72.63,7.85,0,0.98,0,0,25.52,12.76,0,103.06,0,3.93,12.76,0,0
 72-82,0,0,0.98,0,15.71,0.98,0,48.1,0,0.98,10.8,47.12,5.89,0,4.91,0,0,0.98,0,0.98,0,209.09,0,4.91,12.76,107.98,3.93,0,4.91,0,0,24.54,2.94,0,94.24,0.98,7.85,13.74,0,0
 84-94,2.12,0,2.12,0,15.93,0,0,58.41,0,3.19,8.5,27.61,11.68,0,4.25,0,2.12,0,2.12,0,1.06,137,1.06,1.06,6.37,57.35,11.68,0,1.06,0,2.12,87.09,5.31,0,84.96,0,3.19,21.24,0,0
 96-106,0,0,6.56,0,25.14,2.19,1.09,40.44,0,2.19,12.02,40.44,20.76,1.09,7.65,0,0,0,1.09,2.19,0,197.81,1.09,1.09,4.37,44.81,5.46,0,2.19,0,4.37,46.99,6.56,0,102.73,0,8.74,15.3,0,0
108-118,0,0,1.53,0.77,23.74,0.77,0,32.94,0,0.77,11.49,24.51,14.55,0,6.13,0.77,1.53,0.77,0.77,1.53,0,190.72,1.53,2.3,8.43,51.32,4.6,0.77,1.53,0,3.83,58.98,9.96,0,62.81,0.77,3.83,16.09,1.53,0
120,0,0,3.92,0,37.24,0,1.96,23.52,0,3.92,3.92,23.52,3.92,0,1.96,0,0,0,0,3.92,0,150.9,0,0,0,70.55,0,0,0,0,3.92,45.08,7.84,0,68.59,0,1.96,3.92,0,0
