stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,18.06,0,0,0,0,0,0,0,0,0,0,0,21.34,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0
 36-46,0,0,0.81,0,0,35.45,0,0,0,0.81,0,0,0,0,0,0,0,50.76,0,0.81,0,0,0,0,0,0,0,8.06,0,0,0,0
 48-58,0,0,0.57,0,0,35,0,0,0,2.3,0,0,0,0,0,0,1.15,96.97,0,0,0,0,0,0.57,0,0,0,5.74,0,0.57,0,0
 60-70,0,0,0.98,0,0,135.45,0,0,0,0.98,0,0.98,0,0,0,2.94,0.98,159.01,0,0,0,0,0.98,0.98,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0,0,350.45,0,0,0.98,9.82,1.96,3.93,0,0,0,5.89,0,142.34,0,1.96,0,0,0,0.98,0,0,0,2.94,0,0.98,0.98,0
 84-94,0,1.06,7.43,1.06,0,223.03,0,1.06,0,11.68,1.06,2.12,0,0,0,6.37,1.06,82.84,0,0,0,0,0,2.12,0,0,0,4.25,9.56,0,2.12,0
 96-106,0,1.09,8.74,0,0,281.95,0,1.09,0,14.21,8.74,15.3,0,1.09,0,12.02,1.09,71.04,0,0,0,0,0,2.19,0,0,0,1.09,6.56,0,1.09,1.09
108-118,0,0.77,9.96,0.77,0.77,224.43,0,0,0.77,14.55,9.96,21.45,0.77,1.53,0,14.55,2.3,87.32,1.53,2.3,0.77,0,0,2.3,0,0,0,1.53,28.34,0.77,1.53,0
120,0,0,11.76,0,0,182.26,1.96,0,0,9.8,13.72,19.6,0,0,1.96,13.72,3.92,84.27,0,1.96,0,0,0,1.96,1.96,1.96,0,0,11.76,1.96,0,0
