stage,epidermis,eye,fin.epithelia,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,2,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0.81,0,0,0,0,4.03,0.81,0,0,0,0
 48-58,1.72,0.57,0,0,0,0.57,2.87,1.15,0,0,0,0
 60-70,1.96,0.98,0,0,0,0.98,2.94,0,0,0,0,0.98
 72-82,0.98,0.98,0,0,0.98,0,1.96,0,0,1.96,0,0
 84-94,3.19,0,1.06,0,0,0,0,0,1.06,0,0,1.06
 96-106,1.09,1.09,0,1.09,1.09,0,0,0,0,0,0,0
108-118,3.83,0.77,0.77,1.53,0,0,3.06,0,0,1.53,0,0.77
120,3.92,1.96,0,3.92,0,1.96,0,0,0,0,0,1.96
