stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0
 14-21,0,2,0,0,1,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,9.03,0,0.82,0.82,0,0,0.82,2.46,0.82,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,2.42,6.45,0.81,0,1.61,0,0,0,3.22,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,0,0.57,3.44,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0.98,0.98,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,1.06,1.06,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,1.53,0,0.77,1.53,0,0,1.53,0,0,0,0,0,0
