stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,2,158,72,0,6,0,0,0,0,3,14,0,0,0,0,0,0,285,0,0,155,87,19,0,6,0,1,5,5,2,0,2,10,0,0,43,0,0
 24-34,0,0,0.82,1.64,143.65,5.75,0,43.51,0,3.28,1.64,2.46,0,22.16,0,0,1.64,0.82,0,1.64,506.47,0,3.28,174.02,121.49,12.31,0,9.85,0,0.82,0.82,0.82,1.64,1.64,2.46,24.63,0,0,132.98,0,2.46
 36-46,0,0,0,0,96.68,1.61,0,63.65,0,3.22,6.45,10.47,0,24.17,0,0,19.34,0,0.81,12.89,645.34,1.61,19.34,147.44,99.1,12.09,0.81,1.61,0.81,1.61,1.61,0.81,0,0,0,18.53,0,2.42,85.4,0.81,5.64
 48-58,0.57,0,0,0,47.63,0.57,0,64.27,0.57,10.33,6.31,15.49,0.57,28.12,0,0,39.02,0,1.15,12.05,699.47,0.57,26.97,90.66,98.12,5.74,0.57,4.59,5.74,1.72,0,0,0,0,0,9.75,0,1.15,63.12,0.57,6.31
 60-70,0.98,0,0,0,62.82,0.98,0,66.74,0,21.59,7.85,32.39,0.98,26.5,0.98,0.98,52.02,0,0,14.72,940.3,0.98,34.35,76.56,67.73,4.91,0.98,0,9.82,3.93,0,0,0,0,0,8.83,0,11.78,53,7.85,13.74
 72-82,0,0,0.98,0,53.99,3.93,0,66.75,1.96,15.71,10.8,58.9,0.98,22.58,0,0,53.99,0,2.94,2.94,831.47,3.93,53.01,61.84,83.44,2.94,0,6.87,10.8,1.96,0,0.98,1.96,0,0,5.89,1.96,6.87,110.93,23.56,4.91
 84-94,0,0,1.06,0,142.31,3.19,0,101.96,0,33.99,9.56,28.68,2.12,15.93,3.19,1.06,89.21,0,0,20.18,645.72,0,53.1,29.74,54.16,8.5,1.06,3.19,6.37,9.56,0,0,2.12,0,0,1.06,0,8.5,97.71,31.86,5.31
 96-106,0,0,0,0,88.52,4.37,0,97.26,4.37,29.51,12.02,64.48,4.37,18.58,2.19,2.19,106.01,1.09,7.65,12.02,519.1,0,49.18,20.76,72.13,8.74,3.28,10.93,16.39,7.65,0,0,2.19,0,0,3.28,1.09,8.74,114.75,41.53,9.84
108-118,0,0,0.77,0,107.23,2.3,0,63.57,2.3,32.17,4.6,48.26,1.53,13.79,0,1.53,155.49,0.77,8.43,17.62,358.47,0.77,39.06,16.09,56.68,13.79,1.53,7.66,12.26,3.83,0.77,0,2.3,0,0,1.53,0,9.19,81.96,29.87,11.49
120,0,0,0,0,66.63,1.96,1.96,41.16,0,27.44,1.96,33.32,1.96,5.88,5.88,0,78.39,0,1.96,3.92,311.61,0,33.32,9.8,58.79,13.72,1.96,7.84,9.8,13.72,0,0,0,0,0,0,1.96,5.88,70.55,29.4,0
