stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,neural,otic,periderm,pgc,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0.81
 48-58,0,0,0,0,0,4.59,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,14.72,1.96,0.98,0,0.98,0,0.98,0
 72-82,0,1.96,1.96,0,0,26.5,0,0.98,0,0.98,0,0,0
 84-94,0,3.19,0,0,0,26.55,0,1.06,0,4.25,0,0,6.37
 96-106,0,3.28,0,1.09,0,31.69,0,0,1.09,5.46,0,0,4.37
108-118,0,2.3,0.77,0,0,46.72,1.53,3.06,0.77,3.83,0,0,3.06
120,0,1.96,0,0,1.96,58.79,3.92,1.96,0,0,0,0,7.84
