stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,135.32,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,180,3,0,115,0,0,0,0,111,0,1,0,0,0,5,0,0,17,1,2,0,1,1,1,4,0,0,0
 24-34,0,0,0,27.09,0,0,188.8,0,0,0,0,36.12,0,0,0.82,0.82,0.82,1.64,0,0.82,18.06,0,0,0,0.82,0,0,2.46,1.64,0,0.82
 36-46,0,0,0,0.81,0,0,107.96,0,0,0,0,13.7,0,0,0,0,0,0.81,0,1.61,6.45,0,0,0,7.25,0,0,0.81,0,0,0
 48-58,0,0,0,1.15,0,0,78.61,0,0.57,0,0,22.95,0,0,0,0,0,0,0,0,8.61,0,0,0,1.15,0,0,1.72,0,0,0
 60-70,0,0,0,0.98,0,0,58.89,0,0,0.98,0,0.98,0,0,0,0,0,3.93,0,0,1.96,0,0,1.96,3.93,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,59.88,0,0.98,1.96,0.98,6.87,0,0,0,0,0,1.96,0,0.98,6.87,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,1.06,0,2.12,2.12,0,76.47,0,1.06,1.06,1.06,8.5,2.12,0,0,0,0,1.06,0,0,3.19,0,0,3.19,8.5,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,0,85.24,0,0,0,2.19,1.09,1.09,0,0,0,1.09,4.37,1.09,2.19,2.19,0,0,7.65,5.46,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0.77,63.57,0.77,0,0.77,0,0,0,0,0,0,0,3.06,0,0,3.06,0,0,2.3,3.83,0,0,0,1.53,0.77,0
120,0,0,0,1.96,0,0,74.47,0,0,1.96,3.92,0,0,0,0,1.96,0,3.92,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0
