stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,66,0,0,2,0,0,0,0,1,0,1,0,28,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,2.46,2.46,0.82,0,0.82,0,0,0.82,0,0,0,0.82,0,15.6,0,0,6.57,74.7,0,0.82,3.28,0,0,0,0,0,0,0,1.64,36.94,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,4.03,6.45,0.81,0.81,0,0,0,0,0,0,0,0,0,8.06,0,0,0.81,84.6,0,0,3.22,0,0,2.42,0,0,0,12.09,0,51.56,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,8.61,4.02,1.15,0,2.3,0,0,0,0,0,0.57,0,0,2.87,0,0,1.72,77.46,0.57,0.57,3.44,0,0,1.72,0,0,0,17.79,0,33.28,0,0,0,0,0.57
 60-70,0,0,0,0,7.85,0,41.22,0.98,0,0.98,1.96,0,0,0,0,0.98,0.98,0,0.98,1.96,0.98,0,0.98,92.26,0,0,6.87,0,0,0,0,0,0,12.76,0,28.46,0.98,0.98,0,0,0
 72-82,0,0,0,0,7.85,0,77.55,5.89,1.96,0,4.91,0,0,1.96,0,0,0,0,0,2.94,0,0,1.96,106.02,0,0.98,12.76,0,0,0,0.98,0,0,1.96,0,19.63,1.96,0.98,0,1.96,0
 84-94,0,0,1.06,0,15.93,0,48.85,9.56,0,0,6.37,1.06,0,0,0,1.06,1.06,0,0,3.19,0,1.06,3.19,62.66,0,1.06,20.18,0,0,0,0,0,1.06,6.37,0,8.5,0,2.12,2.12,5.31,0
 96-106,0,0,0,0,9.84,1.09,33.88,16.39,1.09,0,7.65,0,0,0,2.19,0,0,0,0,3.28,1.09,1.09,2.19,48.09,1.09,3.28,19.67,0,1.09,2.19,4.37,0,0,6.56,0,10.93,0,2.19,0,6.56,0
108-118,0,0,0,0,6.13,0.77,39.06,11.49,0,0,4.6,0.77,0,0,0,0,3.06,0,0,3.06,0,3.06,2.3,64.34,0,2.3,13.02,0,1.53,0.77,0,0,0.77,3.83,0,3.83,2.3,1.53,1.53,3.06,0
120,0,0,0,0,11.76,0,35.28,17.64,0,0,3.92,0,0,1.96,0,0,3.92,0,0,1.96,0,0,0,90.15,0,5.88,23.52,0,0,0,0,0,0,0,0,3.92,1.96,0,0,5.88,0
