stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,17,10,9,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,5,0,19,0,1,0,0,1,1,2,0,1,8,0,0,0
 24-34,0,14.78,0.82,4.93,0,0,0.82,0,0,0,0,0,0,0.82,18.88,0,0,0,2.46,25.45,1.64,55.82,0,0.82,0,0,3.28,0,0,0,0,1.64,0,0,0
 36-46,0,5.64,0,0.81,0,0,1.61,0,0,0.81,0,0,0,0,4.03,0,0.81,0,0.81,21.75,0,63.65,0,0,0,0,0.81,0,0,0,0.81,2.42,0,0,0
 48-58,0,5.74,0,4.02,0,0,2.3,0.57,0,1.15,0.57,0.57,0,0,4.59,0.57,0,0,0,28.69,0,35.58,0,0,1.15,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,11.78,0,12.76,0,0,2.94,0.98,0.98,0,7.85,0,0,0,3.93,0,0,0,1.96,23.56,0,28.46,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0
 72-82,0,44.17,0,27.49,0,0,4.91,0.98,0,2.94,39.27,0.98,0,0.98,5.89,0,0,0.98,1.96,64.79,0,33.38,0,0,0.98,0,2.94,0.98,0,0,0,1.96,6.87,0,0.98
 84-94,0,47.79,0,29.74,0,0,10.62,2.12,0,2.12,66.91,0,0,0,6.37,0,2.12,3.19,1.06,54.16,0,36.11,0,1.06,4.25,0,6.37,0,0,0,0,0,13.81,0,0
 96-106,0,39.34,0,65.57,1.09,0,8.74,6.56,0,2.19,78.68,0,1.09,0,7.65,0,1.09,1.09,2.19,63.39,0,22.95,0,0,7.65,0,8.74,1.09,0,0,0,0,15.3,0,1.09
108-118,0,33.7,0,60.51,0.77,2.3,3.06,1.53,0,0.77,95.75,0,0,1.53,6.89,0,0.77,0.77,6.89,23.74,1.53,22.98,0,0,0.77,0,6.89,0,0,0.77,0,0,18.38,0.77,0.77
120,0,29.4,0,62.71,0,0,1.96,1.96,0,1.96,70.55,0,0,0,5.88,0,0,1.96,0,25.48,1.96,23.52,0,0,1.96,0,7.84,0,0,0,0,0,7.84,0,0
