stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,3.15
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0.81,0,0.81,0,4.83,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0.57,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0.98,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,3.28,0,0,1.09,0,0,0,0,1.09,0,0,3.28,0
108-118,0,0,0,0,0,1.53,0,0.77,0,0,0.77,0.77,1.53,0,0.77,0,0.77,0
120,0,0,0,0,3.92,13.72,3.92,0,0,1.96,0,0,0,0,0,0,76.43,0
