stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0.82,0,0,3.28,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,9.67,0.81,0,0,0,0,0
 48-58,0,0.57,0,0,4.59,8.03,0,0,0.57,0,1.15,1.15,0.57,4.02,0,0,0,1.15,1.15,0.57,0,1.72,6.31,0,0,0,0,0,1.15,0,0.57,18.94,0.57,0,0,0,0,0
 60-70,0,1.96,0,0,6.87,10.8,0,0,0.98,0,0.98,0,1.96,9.82,0,0,0,0.98,10.8,0,0,3.93,5.89,0,0,0.98,0,0,0.98,0,2.94,20.61,1.96,0,0,0,0,0.98
 72-82,0,0.98,0,0,13.74,8.83,0,0.98,0.98,3.93,0,0.98,7.85,18.65,0,0,0.98,1.96,39.27,0,0,2.94,7.85,0.98,0.98,3.93,0.98,0,0,0,1.96,10.8,1.96,0,0.98,0.98,1.96,0
 84-94,0,1.06,0,0,12.74,10.62,0,0,3.19,3.19,2.12,1.06,14.87,37.17,2.12,0,11.68,1.06,25.49,5.31,0,1.06,9.56,3.19,0,3.19,0,0,0,0,11.68,27.61,0,0,1.06,0,4.25,2.12
 96-106,1.09,10.93,2.19,2.19,12.02,21.86,2.19,0,4.37,5.46,1.09,4.37,12.02,60.11,2.19,2.19,31.69,0,52.46,5.46,2.19,1.09,16.39,5.46,1.09,10.93,0,2.19,4.37,0,21.86,30.6,0,0,3.28,1.09,7.65,0
108-118,0,8.43,0.77,1.53,9.19,22.21,2.3,1.53,3.06,18.38,0,2.3,11.49,50.55,5.36,0,33.7,3.83,31.4,3.83,2.3,9.19,13.02,3.83,0,10.72,0,1.53,1.53,0,19.15,28.34,0,0.77,0.77,0,3.06,4.6
120,0,9.8,1.96,0,9.8,25.48,3.92,0,1.96,5.88,0,1.96,11.76,23.52,3.92,0,1.96,3.92,35.28,0,1.96,5.88,9.8,7.84,0,3.92,0,1.96,0,1.96,17.64,1.96,0,0,5.88,0,5.88,3.92
