stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,2.46,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0.82,1.64,0,0,4.93,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0
 36-46,0,0,3.22,0,0,0.81,0.81,0,0,0.81,1.61,0,0,0,0,1.61,0,0,0,0,0,0,0,1.61,0,0,1.61,0,0,0,0,0
 48-58,0,0,8.03,0,0,1.72,0.57,0,0,0,0.57,0,0,0.57,1.15,1.15,0,0,1.72,0,0,0.57,0,67.14,1.15,0,0.57,0,0,1.15,0,0
 60-70,0,0,20.61,0,0,1.96,2.94,0,0,0,4.91,1.96,0,2.94,2.94,2.94,0,0.98,0,0,0,0,0,177.66,0,0,0.98,0,0,0,0,0
 72-82,5.89,0,54.97,0.98,0,8.83,15.71,0,3.93,2.94,1.96,11.78,0,2.94,8.83,15.71,0,0.98,15.71,1.96,1.96,0.98,0.98,807.91,0.98,0,4.91,0.98,0.98,0,0.98,0
 84-94,3.19,0,101.96,1.06,0,3.19,44.61,0,2.12,4.25,4.25,18.05,0,9.56,4.25,12.74,0,0,7.43,0,0,1.06,0,1893.61,1.06,0,0,0,1.06,1.06,0,0
 96-106,2.19,0,132.23,2.19,0,9.84,50.27,0,7.65,13.11,3.28,30.6,0,9.84,3.28,29.51,1.09,1.09,28.41,0,2.19,0,0,1763.85,0,0,2.19,0,0,1.09,3.28,1.09
108-118,1.53,0,128.68,0,2.3,5.36,61.28,0.77,3.83,16.85,2.3,44.43,0.77,13.79,7.66,31.4,0.77,1.53,14.55,0,0.77,0,0,1421.63,1.53,0.77,0,0.77,0,0,0.77,0
120,1.96,0,146.98,0,0,3.92,50.95,0,1.96,25.48,13.72,25.48,0,13.72,5.88,23.52,3.92,0,27.44,0,0,0,0,1001.45,0,0,0,5.88,1.96,0,1.96,0
