stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,1,1,0,2,1,1,1,0,6,0,0,0,0,0
 24-34,0,1.64,0,3.28,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,1.64,0.82,0,2.46,18.06,0,0,0,0,0,1.64,0,1.64,0,0.82,9.85,0,0,1.64,0,0
 36-46,0,0.81,1.61,2.42,0,0,1.61,2.42,0,0,0.81,0.81,0,0,0,0,2.42,0,0,2.42,25.78,0,0.81,0,0,0,2.42,0,1.61,0,0,8.06,0,0,0.81,0,1.61
 48-58,0,0.57,1.15,14.35,0.57,1.15,1.15,2.3,0,0,0.57,0,0,0,0,0.57,4.59,0,0,1.15,28.12,0,0,0.57,0,0,1.72,0,0.57,0,0,9.75,0,0,0.57,0,0.57
 60-70,0,0.98,0.98,4.91,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,21.59,0,0,0,0,0,2.94,0,1.96,0,0,0.98,0,0.98,0,0,0
 72-82,0,0.98,2.94,6.87,0,0,0,2.94,0,0,0,0.98,0,0,0,0,11.78,0,0,0,16.69,0,0,0,0,0,3.93,0,0.98,0,0,1.96,0,0,2.94,0,0
 84-94,0,2.12,1.06,7.43,0,1.06,0,1.06,2.12,0,0,1.06,0,0,0,0,7.43,0,1.06,0,14.87,0,0,1.06,0,0,5.31,0,0,0,0,3.19,1.06,0,0,1.06,0
 96-106,0,1.09,3.28,6.56,0,0,0,2.19,0,1.09,2.19,2.19,1.09,0,0,0,1.09,0,2.19,0,10.93,0,0,0,0,1.09,7.65,0,4.37,0,0,0,0,0,0,0,0
108-118,0,3.06,1.53,6.13,0,0.77,0,0,1.53,0,0.77,1.53,0,0.77,0.77,0.77,1.53,0.77,0,0,12.26,0,0,0.77,0,0,2.3,0,3.83,0,0,0.77,0,0,0,0,0
120,0,3.92,1.96,1.96,0,1.96,0,1.96,5.88,0,0,1.96,0,0,0,0,7.84,0,0,1.96,19.6,0,0,1.96,0,0,3.92,0,5.88,0,0,0,1.96,0,0,0,0
