stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,110.14,3.15,0,0,9.44,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,2,0,1,3,6,0,0,0,0
 24-34,0,0,0,0,2.46,0.82,0,1.64,0,0,0.82,0.82,0,0,0.82,0.82,0,0,0,6.57,0,0,35.3,1.64,0.82,0.82,0,0,0,0,2.46,0.82,1.64,9.03,0,0.82,0,0
 36-46,0,0,0.81,0,1.61,0,0,4.83,0,0,0,1.61,0,0,1.61,0.81,0,0,0,5.64,0,4.83,19.34,0,0,0,0,0,0.81,0,0,0.81,0,4.83,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,11.48,0,0.57,0.57,4.59,1.15,0,0,0.57,0,0,0.57,9.18,0.57,1.15,20.66,0.57,0,0,0,0,0.57,0,0,0,0,5.16,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,12.76,0,0,0,4.91,0.98,0,0,0,0,0,0,9.82,0,0,16.69,0.98,0,0,0,0,2.94,0,1.96,0,0,2.94,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,14.72,0,0,0.98,11.78,1.96,0,0,0,0,0,0,10.8,0.98,1.96,21.6,0.98,0,0,0,0,1.96,0,3.93,0,0,1.96,0.98,1.96,0,0
 84-94,0,0,1.06,0,0,0,1.06,9.56,0,2.12,1.06,9.56,7.43,0,0,1.06,0,0,3.19,11.68,0,2.12,8.5,0,0,0,0,0,2.12,0,4.25,0,0,1.06,1.06,1.06,1.06,1.06
 96-106,0,0,1.09,0,1.09,1.09,0,4.37,0,0,1.09,4.37,7.65,0,0,0,0,0,0,5.46,0,1.09,14.21,0,1.09,2.19,0,0,2.19,0,2.19,0,0,0,0,2.19,0,0
108-118,0,0,0,0,2.3,0,3.83,7.66,0.77,0.77,1.53,3.83,13.79,0,0,0,0.77,0.77,0.77,13.02,0.77,1.53,7.66,0,0,0.77,0,0.77,0.77,0,6.89,0,0,0.77,0,0.77,0.77,0.77
120,0,0,0,0,7.84,0,0,11.76,1.96,1.96,1.96,3.92,21.56,0,0,0,0,0,5.88,9.8,1.96,0,13.72,0,1.96,1.96,0,0,0,0,19.6,0,0,0,0,0,0,0
