stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,0,0,0,2,1,4,7,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,3.28,0,0,0,0,0,0,1.64,0,0,21.34,0,0,0,0,0,0,0,0,5.75,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0.81,0,0,0.81,0,0,0,4.83,0,2.42,20.14,0.81,0,0,0,0.81,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,2.87,0,0,0,2.87,0.57,0,0,0,0,0,4.59,0,0,12.05,0,0,0,0,0.57,0,0,0,4.59,0.57,0,0
 60-70,0,0,0,0,2.94,0,0.98,0,5.89,0,0,0,0,0,0,4.91,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,9.82,0,0.98,0.98,4.91,0,0.98,0,0,0,0.98,10.8,0,0.98,14.72,0,0,0.98,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,1.06,0,2.12,0,0,0,2.12,0,1.06,0,1.06,0,0,6.37,0,2.12,0,0,1.06,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,1.09,1.09,1.09,2.19,0,0,0,4.37,0,0,0,0,0,0,5.46,0,1.09,4.37,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.53,0,0.77,1.53,0.77,0.77,0,2.3,0,0.77,0.77,0,0.77,0,8.43,0.77,1.53,3.83,0,0,2.3,0,0,0,0,0,0.77,0.77,3.06,0
120,0,1.96,0,0,7.84,0,0,0,3.92,0,1.96,0,0,0,0,0,0,3.92,5.88,1.96,0,3.92,0,0,0,0,0,0,0,0,0
