stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,immune,iridophores,mesenchyme,neural,otic,paraxial.mesoderm,pericytes,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0.57,0.57,0,1.72,0.57,0,1.72,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,3.93,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,6.87,0,1.96,7.85,0,1.96,6.87,0,0,0,0
 84-94,0,0,0,4.25,0,0,8.5,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,3.28,0,0,10.93,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0.77,5.36,0,0.77,10.72,3.06,0.77,1.53,0,0,0,0
120,0,0,0,5.88,0,0,23.52,0,0,1.96,1.96,0,0,0
