stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,12,3,0,2,0,0,0,7,0,0,0,0,1,0,5,0,0,1,379,0,0,0,1,0,0,0,0,5,106,0,0,0
 24-34,0,1.64,0,0,13.95,0,0,0,13.13,0,0,0,0.82,0,0,8.21,0,0,0.82,464.6,0,2.46,0,0,1.64,0,0,0,0.82,115.74,0,0.82,0
 36-46,0,0.81,0,0,17.72,0,0,0,8.86,0,0,0,0,0,0,4.83,0,0,0.81,438.28,0,0,0,0,0,0,0,0,0,141.8,0,0,0
 48-58,0,1.15,1.15,0,30.41,0,0,1.15,6.89,0.57,0,0,0,0,0,6.31,0,0.57,0,515.28,0,0,0,0,0,0,0.57,0,0,127.38,0,0,0.57
 60-70,0,0,0.98,0,30.43,0,0,0,12.76,0.98,0,0,0,0,0,23.56,0,1.96,0,743.99,0,0,1.96,0,0.98,0,0,0,0,174.71,0,2.94,0
 72-82,0,6.87,0.98,0,71.66,0,0.98,0,15.71,0.98,0,0,0.98,0,0.98,35.34,0,0.98,3.93,642.99,0,0.98,0.98,0,1.96,0,0,0,0,59.88,0.98,0.98,0.98
 84-94,1.06,13.81,0,0,50.98,0,1.06,0,15.93,1.06,1.06,1.06,1.06,0,0,25.49,1.06,0,0,331.36,0,1.06,1.06,0,0,1.06,0,1.06,0,44.61,0,0,0
 96-106,0,12.02,0,0,40.44,2.19,0,0,15.3,0,0,0,0,0,0,34.97,0,0,1.09,299.44,1.09,0,1.09,0,2.19,0,0,0,0,7.65,1.09,2.19,0
108-118,0,3.06,2.3,0,22.21,0.77,0,0.77,11.49,0,0,0,0,0,0,33.7,0,0,0.77,285.7,0,0,0,0,0.77,0,0.77,0,0,15.32,0,3.06,0
120,0,5.88,1.96,1.96,35.28,0,0,0,3.92,0,1.96,0,0,1.96,0,47.03,0,0,0,384.12,0,0,0,0,1.96,1.96,0,0,0,21.56,0,0,0
