stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,7.89,0,0,0,34.17,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,191.9,10.51,0,0,39.43,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,28.32,0,6.29,0,62.94,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,541.28,6.29,0,0,81.82,0,3.15,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,1,0,1,31,113,30,0,72,0,0,13,13,0,4,0,0,0,0,15,11,77,0,0,48,447,38,0,5,6,0,46,11,14,18,1,20,168,0,4,0,10
 24-34,0.82,0.82,0.82,35.3,55.82,4.1,0,137.9,0,0,20.52,6.57,0,6.57,1.64,0,3.28,0.82,24.63,36.12,116.56,0.82,0.82,63.21,670.64,9.85,2.46,7.39,0,0,40.22,0.82,0,20.52,6.57,6.57,207.68,0,27.91,0,25.45
 36-46,0,0,0.81,1.61,8.06,0.81,0,161.94,0,0.81,16.92,4.83,0,2.42,2.42,0,6.45,0.81,10.47,31.42,42.7,0,3.22,12.89,803.25,4.03,2.42,1.61,0,1.61,19.34,3.22,0,12.09,0.81,0.81,176.44,0,20.95,0,4.83
 48-58,0,0,0,0,2.3,0,0,503.23,0,2.87,39.02,1.72,0,0,2.87,0.57,8.61,0.57,2.87,7.46,32.71,0,2.3,4.02,912.35,0.57,4.02,1.15,0,0,4.02,0.57,0,4.02,0,0,163.53,0.57,15.49,0,17.21
 60-70,0,0,0,0,5.89,0,0,951.09,1.96,1.96,59.87,0.98,0,0.98,2.94,0,22.58,0,1.96,3.93,34.35,0.98,2.94,4.91,1126.79,1.96,0.98,1.96,0,0.98,4.91,0,0,5.89,0,0,121.71,2.94,9.82,0,3.93
 72-82,0,0,1.96,0,6.87,1.96,0,702.87,1.96,4.91,69.7,9.82,0,0.98,8.83,0,7.85,0,3.93,4.91,41.23,0,0.98,1.96,916.87,0,0.98,1.96,0,0.98,1.96,0.98,0,7.85,0,0,72.64,1.96,11.78,0.98,3.93
 84-94,0,0,3.19,0,7.43,1.06,1.06,612.8,3.19,9.56,60.54,9.56,0,0,8.5,1.06,25.49,1.06,7.43,3.19,46.73,1.06,3.19,6.37,435.44,0,2.12,5.31,0,1.06,3.19,0,0,19.12,0,0,44.61,5.31,13.81,4.25,8.5
 96-106,0,0,1.09,0,7.65,1.09,0,352.99,2.19,2.19,71.04,17.49,0,2.19,5.46,1.09,13.11,1.09,9.84,2.19,26.23,0,3.28,0,391.24,2.19,4.37,1.09,0,1.09,6.56,1.09,0,16.39,0,0,27.32,2.19,13.11,2.19,5.46
108-118,0,0,2.3,0,8.43,0.77,0,235.92,0.77,2.3,42.13,5.36,0,0,10.72,0.77,18.38,0,7.66,4.6,16.09,0,0.77,5.36,401.36,1.53,2.3,5.36,0,0,0.77,0,0,12.26,0,0,15.32,0,6.89,0,4.6
120,1.96,0,0,0,17.64,0,0,192.06,0,1.96,47.03,9.8,0,0,11.76,0,7.84,0,0,1.96,39.2,0,0,5.88,458.59,1.96,1.96,3.92,0,0,3.92,1.96,0,11.76,0,0,3.92,1.96,17.64,1.96,0
