stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,27,10,1,0,0,0,0,2,0,0,5,0,0,0,0,0
 24-34,0.82,0,0.82,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0,0,65.67,0,6.57,9.03,0,0,0,0,0,0,1.64,0,0.82,0,0,4.93,0,0
 36-46,0,0,1.61,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,108.77,0,0.81,8.86,0.81,0,0,0,0,0,0,0,2.42,0,0.81,2.42,0,0
 48-58,0,0,0,0,0,0,5.74,0.57,0,0.57,0,0,0.57,0,0,0,0,214.03,0.57,1.15,16.64,0,0,0,1.15,0,0,0,0.57,4.59,0,1.15,2.87,0,0
 60-70,0,0,0.98,0,0.98,0.98,6.87,0,0,10.8,0,0,0,0,0,0,0,323.9,5.89,0,23.56,0,0,0,3.93,0,0,0,0,0,0,10.8,0.98,9.82,0
 72-82,0,0,0,0,1.96,0.98,21.6,0,2.94,38.28,0.98,0,0,0,0,0,0,424.08,11.78,3.93,34.36,0.98,0.98,0,7.85,0.98,0,0,0,1.96,0.98,25.52,0.98,27.49,0
 84-94,0,0,0,0,3.19,1.06,36.11,3.19,1.06,14.87,0,0,0,0,0,0,0,319.67,11.68,4.25,24.43,0,2.12,0,3.19,0,0,1.06,1.06,1.06,0,29.74,2.12,27.61,0
 96-106,0,0,0,0,6.56,1.09,25.14,0,1.09,29.51,0,0,0,1.09,0,0,1.09,276.49,7.65,3.28,27.32,0,0,0,14.21,1.09,0,0,0,1.09,0,21.86,3.28,48.09,0
108-118,0,0,0.77,0,0.77,0,5.36,0,0,16.85,0,0,0,0,0,0.77,0,209.87,4.6,3.06,31.4,2.3,0,0,13.79,0,0,0.77,0,0.77,0,12.26,1.53,31.4,0.77
120,0,0,0,0,1.96,0,11.76,1.96,0,15.68,0,0,0,0,1.96,0,0,160.7,5.88,3.92,29.4,0,0,0,5.88,0,0,0,0,0,0,7.84,0,54.87,0
