stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,16,0,0,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,75.52,0,0,0,0.82,0,0,25.45,0,0,0,0
 36-46,0,0,0,14.5,0,0,1.61,0,0,0,0,1.61,0,0,169.19,1.61,0,0.81,0,0,0,44.31,0,0,0,0
 48-58,0,2.3,0,53.94,0,0.57,3.44,0,0,0,0.57,2.87,0,0.57,241,0,0,0,0.57,0,0,44.18,0,0,0,0
 60-70,0,0,0,119.75,0,0,7.85,0.98,0,0,0,8.83,0,0.98,263.05,0,0,0,1.96,0,0.98,40.24,0,0,0,0.98
 72-82,0,2.94,0,138.41,0.98,0,11.78,0.98,1.96,0,0,3.93,0,0,273.88,1.96,0,0,1.96,0,0,16.69,0,0,1.96,0
 84-94,0,2.12,1.06,90.27,0,0,11.68,0,1.06,1.06,0,5.31,0,0,161.43,0,1.06,0,2.12,1.06,0,14.87,1.06,0,0,1.06
 96-106,0,2.19,0,59.01,0,0,9.84,1.09,0,1.09,0,3.28,1.09,0,165.02,2.19,0,0,4.37,0,0,5.46,1.09,0,1.09,0
108-118,0,2.3,0,45.96,0,0.77,7.66,0,1.53,0,0,3.06,0,0,133.28,0.77,0,0,0,0,0,6.89,0,0.77,0,0
120,0,1.96,0,33.32,0,0,11.76,0,0,0,0,9.8,0,1.96,162.66,1.96,0,0,0,1.96,0,5.88,0,0,0,0
