stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,1,1,0,1,1,0,5,0,0,0,1,0,0
 24-34,0,0.82,0,0,0.82,0,0,0.82,9.03,0,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,0,8.86,0,0,0,0,0.81,2.42
 48-58,0,0,0,0,1.15,1.15,0,0,5.16,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,4.91,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,0.98,1.96,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,0,2.3,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0
