stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,13,75,17,0,0,2,0,2,22,0,15,0,0,0,0,0,70,0,0,62,25,3,1,0,0,0,0,0,2,1,0,4,48,0,2,0,0
 24-34,0,0,9.03,93.58,1.64,5.75,0,9.03,4.93,1.64,3.28,0,23.8,0,0,0,0,0,189.62,0.82,0,98.5,70.59,0,0.82,0,0,0.82,0,0,0.82,0.82,0,3.28,50.89,0,7.39,0,0
 36-46,0.81,0,1.61,12.89,0,7.25,0.81,1.61,4.03,14.5,0,0,24.17,0,0,0,0,0,199,0.81,8.06,47.53,92.65,3.22,0,0,0,0.81,1.61,0,0,1.61,0,0,42.7,1.61,3.22,0,0
 48-58,0,0,0,6.89,1.15,13.2,0,1.72,5.74,37.87,0,0,12.05,0,1.15,0,0,0,290.35,0,14.92,36.15,66.56,6.31,0,0,0,2.3,0.57,0,0,0,0.57,0,21.23,1.15,4.59,0,0
 60-70,0,0,0,16.69,1.96,16.69,0.98,2.94,4.91,74.6,0,0,7.85,0.98,0,0,0,0,235.57,0,16.69,16.69,38.28,0.98,0,0,0,0.98,0.98,0,0,0,0,0,15.7,9.82,2.94,0,0
 72-82,0,0,0,8.83,1.96,34.36,1.96,0,8.83,86.39,0,0,6.87,0.98,0,0,0,0,248.36,0,18.65,15.71,76.57,0.98,0,3.93,0,1.96,0,0,0,0,0,0,5.89,17.67,4.91,1.96,0
 84-94,2.12,0,0,13.81,4.25,21.24,0,2.12,7.43,48.85,0,0,5.31,1.06,0,0,0,0,172.05,1.06,18.05,8.5,21.24,3.19,0,3.19,0,3.19,0,0,0,0,0,0,4.25,9.56,4.25,3.19,0
 96-106,0,0,0,9.84,5.46,29.51,1.09,1.09,4.37,51.36,1.09,0,6.56,2.19,0,1.09,0,1.09,144.26,0,12.02,7.65,21.86,0,2.19,3.28,0,4.37,0,0,0,0,2.19,0,1.09,10.93,7.65,3.28,0
108-118,0,0,0,9.96,3.06,22.98,0,1.53,1.53,44.43,0,0,3.06,1.53,0,0,0,0,112.6,0,9.19,3.83,39.83,0,0,4.6,0,5.36,1.53,0,0,0,0.77,0,2.3,7.66,3.83,0,0.77
120,0,0,0,5.88,0,19.6,0,0,0,37.24,1.96,0,3.92,1.96,0,0,1.96,0,52.91,0,7.84,1.96,27.44,1.96,0,3.92,0,3.92,1.96,0,0,0,0,0,9.8,7.84,1.96,0,0
