stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,7.89,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0,165.61,5.26,0,0,78.86,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,53.5,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,3,0,3,0,0,2,0,0,0,0,0,0,0,0,2,29,0,0,1,0,1,1,1,0,2,8,0,0,0
 24-34,0,0,0,0,0.82,0.82,5.75,0,0,2.46,0,0,0,0,0,0,2.46,0,0.82,49.25,0,1.64,0.82,0,0,0,0,0,2.46,13.95,0,0.82,0
 36-46,0,0,0,0,0,0,5.64,0,0,3.22,0,0,1.61,0.81,0,0,1.61,0,0,25.78,0,0,0,0,0,0,0.81,0,0,10.47,0,0.81,0
 48-58,0,0,0,0,0,0,15.49,0,0.57,0.57,0,0,0,0,0,0,2.3,0,0,17.79,0,0.57,0,0,0,0,0,0,0,9.75,0,0.57,0
 60-70,0,0,0,0,0,1.96,19.63,0,0,2.94,0.98,0,0,0,0,0,9.82,0,0.98,18.65,0.98,0.98,0,0,0,0,0,0,0,8.83,0,0,0
 72-82,0,0,0,0,0,0,41.23,0.98,0,9.82,0,1.96,0,0,0,0,20.61,0,2.94,31.41,0,3.93,1.96,0,0,0,0,0,0,7.85,0,1.96,0
 84-94,0,0,1.06,0,3.19,1.06,81.78,1.06,0,2.12,1.06,0,0,0,0,0,10.62,2.12,2.12,14.87,1.06,1.06,4.25,0,4.25,0,0,1.06,0,1.06,0,2.12,1.06
 96-106,0,0,0,0,1.09,1.09,103.82,0,0,4.37,0,0,0,2.19,0,0,6.56,0,0,14.21,0,2.19,0,0,0,0,0,1.09,0,2.19,0,1.09,1.09
108-118,0,0,0,0,2.3,3.06,137.87,2.3,0,6.13,0.77,3.83,1.53,0,1.53,0.77,7.66,0.77,1.53,23.74,0,1.53,0.77,0,0.77,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,0,62.71,0,0,1.96,0,1.96,0,0,3.92,0,5.88,0,0,7.84,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96
