stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,237.2,5047.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0
  5-6,226.8,4713.69,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,134.85,12.26,0,0,42.91,159.37,0,0,0,0,0,0,0,0,0
  7-9,107.78,160.35,0,257.61,0,0,0,491.57,0,0,0,0,178.75,0,0,0,0,0,0,0,0,0,0,0,4926.21,120.92,0,0,1716.55,42.06,0,0,0,0,0,0,0,0,0
 10-12,0,122.73,0,207.7,0,31.47,0,443.72,0,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,3.15,3307.46,56.65,0,0,1258.79,28.32,6.29,119.58,0,0,3.15,0,0,0,0
 14-21,0,1,1,15,497,69,0,32,1,0,5,22,1,5,0,15,1,0,2,0,112,2,0,40,293,2,2,10,34,117,117,9,1,57,80,0,0,0,0
 24-34,0,0,1.64,9.03,56.64,3.28,0,36.12,7.39,0.82,6.57,7.39,0.82,0.82,0,2.46,0.82,0.82,4.1,1.64,73.06,0.82,0.82,29.55,106.71,0,1.64,8.21,0,21.34,0.82,1.64,0,12.31,32.01,0,0,2.46,0.82
 36-46,0,0,0,0,6.45,0,0,9.67,2.42,2.42,0.81,0.81,0,0,0,0,0,1.61,0.81,0,19.34,0.81,0,3.22,23.36,0,0,0.81,0,4.83,0,0,0,0,0.81,0,0,0.81,0
 48-58,0.57,0,0.57,0,2.87,0,0,5.16,1.15,2.87,1.15,2.3,0,0,0.57,0.57,0,0,1.15,0,20.08,0.57,0,2.3,11.48,0,0,0,0,1.15,0,0,0,0,1.15,0,0,0,0.57
 60-70,0,0,0,0,4.91,0,0,1.96,0,2.94,2.94,1.96,0,0,0.98,1.96,0,0,0,0,12.76,0.98,0,0.98,7.85,0,0.98,0.98,0,1.96,0,0,0,0,0.98,0,0,0.98,0.98
 72-82,0,0,0,0,1.96,0,0,0,0,1.96,0.98,2.94,0,0,1.96,0.98,0,0,0,0,2.94,0,0.98,0,1.96,0,0,0.98,0,6.87,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,5.31,0,0,3.19,0,3.19,4.25,8.5,0,0,0,1.06,0,0,0,0,8.5,0,0,1.06,3.19,0,0,0,0,26.55,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,5.46,0,1.09,2.19,1.09,2.19,0,3.28,0,0,7.65,1.09,0,0,0,0,3.28,1.09,0,1.09,3.28,0,0,0,0,14.21,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0,1.53,0,0,0.77,2.3,0,0,2.3,1.53,0,0,0,0,2.3,0.77,0,0.77,1.53,0,0,0,0,15.32,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,3.92,1.96,1.96,1.96,0,0,1.96,0,0,1.96,0,0,3.92,0,1.96,1.96,3.92,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0
