stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,10,115,0,1,0,0,0,1,0,0,2,1,0,0,0,0,45,0,0,35,18,51,0,0,1,0,3,1,7,7,0,0,38,0
 24-34,0,0.82,4.93,6.57,0,3.28,0,0,0,0,0,0,9.85,0,2.46,0.82,0,0,102.61,0,0.82,44.33,30.37,77.98,0.82,0,0,0,0,0.82,2.46,6.57,0,0,90.29,0
 36-46,0,0.81,1.61,0,0,0.81,0,0,4.83,0,0.81,0,11.28,0,0,0,0,0.81,133.74,0,0.81,62.04,24.17,57.2,0.81,0,0,0.81,2.42,0,0,4.83,0,0.81,81.37,0
 48-58,0,0,0,0,0,2.87,0,0,12.62,1.15,0,0,12.05,0.57,1.15,0,0,0,137.71,0.57,1.72,37.87,20.08,60.25,0,0,0,0,1.15,0.57,0,3.44,0,0.57,49.35,0
 60-70,0,0,1.96,0,0,6.87,0,0,5.89,2.94,0.98,0,7.85,0,0,0.98,0.98,0.98,189.43,0,3.93,15.7,24.54,53,0.98,0,0,7.85,0,0.98,0,1.96,0,6.87,48.09,1.96
 72-82,0,0,3.93,0,0,11.78,0,0,10.8,5.89,0.98,0.98,15.71,0,0.98,0,1.96,0,217.93,0,6.87,23.56,37.3,43.19,0.98,0.98,0,8.83,0,0.98,0,0.98,0,13.74,99.15,3.93
 84-94,1.06,0,4.25,0,1.06,10.62,1.06,1.06,3.19,2.12,0,0,12.74,1.06,2.12,1.06,3.19,0,176.3,0,7.43,9.56,20.18,66.91,0,0,0,8.5,0,0,0,1.06,0,5.31,92.4,8.5
 96-106,0,0,3.28,0,0,9.84,0,0,4.37,6.56,0,0,24.04,0,6.56,0,4.37,0,145.35,0,7.65,12.02,32.79,38.25,0,1.09,0,9.84,0,0,0,1.09,1.09,8.74,106.01,9.84
108-118,0,0,1.53,0.77,0.77,5.36,0,0,3.06,6.89,0.77,0,9.96,2.3,4.6,0,7.66,0,130.21,0,4.6,13.02,42.13,46.72,0,0.77,0,13.79,0,0,0,0,0,6.89,98.81,3.83
120,0,0,1.96,3.92,0,5.88,0,0,1.96,0,0,0,11.76,0,0,1.96,9.8,0,113.67,0,5.88,1.96,29.4,56.83,0,0,0,7.84,1.96,0,0,1.96,0,5.88,86.23,0
