stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,15,2,0,4,0,0,6,0,0,0,0,0,0,0,6,0,1,76,1,0,1,2,7,1,7,30,0,0,0,0
 24-34,0,4.1,0.82,0,35.3,1.64,0,4.1,0,0.82,0,0,0,0,0,22.98,0,10.67,325.06,0,4.1,3.28,4.93,0,0.82,4.1,64.03,0,6.57,0,0.82
 36-46,0,4.83,4.03,0,127.3,0,0.81,6.45,0.81,0,0,0,0,0,0,20.14,0,8.86,266.68,0,0.81,1.61,1.61,0,0,0,66.87,0,3.22,0,0
 48-58,0,1.15,1.15,0,117.63,0,0.57,4.02,0,0,0,0.57,1.15,0.57,0,15.49,1.15,2.87,106.15,0,1.15,0,0,0,0,0,12.62,0,0.57,0,0.57
 60-70,0,4.91,0,0,110.91,0.98,0,3.93,0.98,0.98,1.96,0,0,0,0.98,22.58,0,4.91,49.08,1.96,0,0,1.96,0,0,0,0,0,0,0.98,0
 72-82,0,0.98,0.98,0,25.52,0,0,3.93,0,0,0,0,0,0,0,14.72,1.96,1.96,28.47,0,0,0,0,0,0,0,1.96,0,1.96,0,0
 84-94,0,3.19,2.12,0,35.05,0,0,3.19,5.31,0,0,0,0,0,0,18.05,3.19,3.19,26.55,0,0,0,2.12,0,1.06,0,0,2.12,2.12,0,0
 96-106,0,2.19,0,1.09,16.39,0,0,4.37,0,0,2.19,0,0,1.09,0,4.37,1.09,0,13.11,0,0,0,1.09,0,0,0,2.19,0,1.09,0,0
108-118,0,2.3,5.36,0,15.32,0,0,4.6,0,0,2.3,0,0,0.77,0.77,3.83,0,0.77,17.62,0,0,0.77,0,0,0,0,0,0,1.53,0,0
120,0,9.8,7.84,0,31.36,0,1.96,1.96,1.96,0,1.96,1.96,1.96,0,0,7.84,0,3.92,60.75,0,0,0,1.96,0,0,0,0,0,5.88,0,0
