stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  3-4,13.18,65.89,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,6.29,0
 14-21,0,0,0,0,0,0,0,1,0,1
 24-34,0,0,0,0,0,0,0,4.93,0,1.64
 36-46,0,0,0,0,0,0,0,10.47,0,1.61
 48-58,0,0,0,2.3,1.15,0,0,22.38,0,3.44
 60-70,0,0,0,0.98,0.98,0,0,44.17,0,6.87
 72-82,0,0,0.98,1.96,1.96,0.98,0.98,49.08,0,2.94
 84-94,0,0,0,3.19,0,0,0,25.49,0,2.12
 96-106,0,0,1.09,2.19,2.19,0,0,17.49,0,1.09
108-118,0,0,0,0,0.77,0,0.77,19.92,0,1.53
120,0,0,0,7.84,0,1.96,3.92,27.44,0,1.96
