stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,342.63,8394.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041.06,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,919.45,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,545.54,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,23.66,81.49,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,9.44,37.76,3.15,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,7,30,7,0,2,0,0,0,1,4,0,0,1,0,0,0,0,1,1,0,0,11,1,1,0,2,470,1,2,3,0,11,5,0,3,0,0
 24-34,0,0,0.82,9.85,0.82,0,1.64,0,2.46,0,0.82,0.82,0.82,0,6.57,0,1.64,0,0,2.46,7.39,0,0,45.15,0,2.46,1.64,0,717.43,0,0,0.82,0,0.82,4.93,0,4.93,0,0.82
 36-46,0,0,0,8.86,0,0,6.45,0,4.03,0,0,0,0,0,4.03,0,0,0,0,4.03,4.83,0,0.81,33.84,0,1.61,2.42,0,745.24,0,0,0,0,0,4.03,0,0.81,0,0
 48-58,0,0,0,12.05,0.57,0,14.92,0,7.46,0,1.72,0,0,0,1.15,0,0,0,0,1.15,8.61,0,0.57,28.12,0,0.57,0.57,0,637.5,0,0,0.57,0,0,4.59,0,0.57,0,0
 60-70,0,0,0,23.56,0,0,166.86,0,6.87,0,2.94,0,0,0,3.93,0,0.98,0,0,3.93,6.87,0,1.96,20.61,0,0.98,0,0,635.04,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,53.99,2.94,0,486.9,0,13.74,0,2.94,2.94,0,1.96,9.82,0,0,0,0,6.87,6.87,0,0,25.52,0,1.96,0.98,0.98,738.21,0,0,0.98,0,0,4.91,0.98,1.96,1.96,0.98
 84-94,0,0,1.06,70.09,1.06,0,384.46,1.06,36.11,1.06,3.19,0,0,0,25.49,0,1.06,0,0,3.19,13.81,0,0,15.93,0,4.25,3.19,0,1704.57,0,0,0,0,0,1.06,1.06,3.19,0,0
 96-106,0,0,0,114.75,3.28,0,365.01,0,38.25,0,5.46,4.37,0,3.28,28.41,1.09,1.09,3.28,0,2.19,13.11,1.09,1.09,39.34,0,6.56,3.28,0,1656.76,0,0,0,1.09,0,1.09,2.19,1.09,0,0
108-118,0,0,0.77,108,2.3,0.77,282.64,0,55.15,0,2.3,6.89,0,0.77,43.66,0.77,1.53,1.53,0.77,9.19,18.38,0,0,23.74,0,4.6,3.83,0,1309.8,0,0,0,0,0,1.53,2.3,0.77,0,0
120,0,0,0,80.35,1.96,1.96,303.77,0,45.08,0,3.92,1.96,0,1.96,13.72,0,0,0,0,5.88,11.76,1.96,1.96,15.68,0,0,0,0,699.64,0,0,1.96,0,0,3.92,1.96,1.96,0,0
