stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,7,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,96.04,0,8.21,0.82,0,0,0.82,0,0.82,0,20.52,0,0,0,0
 36-46,0,0,0.81,0,4.03,0.81,0.81,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0.81,249.76,1.61,10.47,0.81,0,0,4.83,0,0,0,43.51,0,0.81,0,0
 48-58,0,0,1.72,0.57,27.54,0.57,0,0,2.3,0,0,0,0,0.57,0,0,0,0.57,6.89,0.57,0,0,418.3,0.57,6.89,0.57,0,0,1.72,0,0,0,45.9,0,0,0,1.15
 60-70,0,0,2.94,1.96,91.28,0,0,0,6.87,0.98,0,0,0.98,0,0,0,0,0,34.35,0,0,0.98,612.47,1.96,7.85,0,0,0.98,3.93,0,0.98,0,60.85,0,0,0,0
 72-82,0,0,1.96,1.96,116.82,0.98,0,0.98,11.78,0,0,0,1.96,0,0,0.98,0.98,0,97.18,0,0,1.96,720.54,2.94,20.61,0,0,0,1.96,0,0,0,48.1,0,1.96,0,0
 84-94,0,0,8.5,2.12,97.71,0,0,0,10.62,0,0,1.06,0,0,0,0,0,0,81.78,1.06,0,0,331.36,2.12,16.99,1.06,0,0,3.19,0,0,0,31.86,1.06,2.12,2.12,0
 96-106,0,0,3.28,3.28,92.89,0,1.09,0,16.39,1.09,0,1.09,0,0,0,0,2.19,0,67.76,0,0,0,330.04,0,19.67,2.19,0,0,1.09,0,0,0,12.02,0,1.09,1.09,0
108-118,0,0,9.19,1.53,77.36,0,0,0,10.72,0.77,0,0,0.77,0,0,0,0,0,55.15,0,0,0,393.7,0,15.32,0.77,0,0,0.77,0,0,0,13.79,0.77,0,1.53,0.77
120,0,1.96,13.72,3.92,90.15,0,0,0,15.68,0,0,0,1.96,1.96,0,0,0,0,35.28,0,1.96,0,448.79,0,11.76,1.96,0,0,0,0,1.96,0,15.68,0,0,0,0
