stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,201.11,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,0.82,1.64,0,0,0,19.7,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,139.38,0,0,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0,11.28,0,0.81,0,0,0,0,0,0,0.81,2.42,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,287.48,0,0,0,8.03,0.57,0,0,0,0,0,0,0,0.57,6.31,0.57,0.57,1.15,38.44,0,0,0.57,0,0,0.57,0,0,0,9.18,0,0,0.57,0,0.57
 60-70,0.98,0,0,1.96,0,0,653.69,0,0,0,79.5,0,0,0.98,0.98,0,0,0,0.98,0,23.56,0,0,0.98,89.32,0.98,0,0,0,0,1.96,0,0,0,11.78,0,0,0.98,0.98,0.98
 72-82,0,0,0.98,1.96,1.96,0,721.52,0,1.96,0.98,145.29,1.96,0,1.96,2.94,0.98,1.96,0,0.98,0,33.38,0,2.94,2.94,104.06,0,0.98,1.96,0,1.96,1.96,0,0.98,0,10.8,0,0.98,3.93,1.96,0
 84-94,0,0,0,18.05,4.25,0,681.83,0,5.31,4.25,124.26,0,0,0,2.12,0,0,3.19,1.06,0,21.24,0,2.12,1.06,69.03,0,1.06,1.06,0,0,6.37,0,0,0,8.5,0,0,6.37,2.12,2.12
 96-106,0,0,0,18.58,6.56,2.19,562.82,0,3.28,2.19,175.95,2.19,0,0,3.28,1.09,1.09,0,2.19,0,29.51,0,1.09,2.19,95.08,0,2.19,2.19,0,1.09,16.39,0,0,0,2.19,0,1.09,6.56,4.37,0
108-118,0,0,0,13.79,3.06,0,362.3,0.77,3.06,0,142.47,1.53,0,0,0.77,0.77,2.3,0,1.53,0,20.68,0,0.77,5.36,72.77,0,0.77,2.3,0,0.77,4.6,0,0,0,1.53,1.53,1.53,1.53,0.77,0.77
120,0,0,0,19.6,0,0,274.37,0,1.96,0,115.63,3.92,0,0,3.92,0,0,1.96,1.96,0,9.8,0,1.96,1.96,66.63,1.96,0,1.96,0,0,5.88,0,0,0,1.96,0,0,0,0,0
