stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0.82,0,0,0,0,48.43,0,0,0,0,0,0,0.82,7.39,0.82,0,0,0,0.82,0.82,0,0,14.78,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,56.4,0,0,0,0,0.81,0,0.81,8.86,0,0,0,0,0,0.81,0,0,16.11,0
 48-58,0,0,0,0,0,1.72,0,0,0,0.57,56.81,0,0,0,0,1.15,0,0,7.46,0,0,0,0,0,0.57,0,0,20.66,0
 60-70,0,0,0,0,0,1.96,0,1.96,0,0,68.71,0,0,0,0,1.96,0,0.98,7.85,0,0,0,0,0.98,0,0,0.98,24.54,0
 72-82,0,0,1.96,0.98,0,3.93,0,0.98,0.98,0,101.11,0,0,0,0,2.94,2.94,0.98,7.85,0,0,0,0.98,0,0,0,1.96,61.84,4.91
 84-94,0,0,1.06,0,0,3.19,0,0,1.06,0,141.25,0,0,0,0,1.06,4.25,0,2.12,0,0,0,0,0,0,1.06,1.06,47.79,8.5
 96-106,0,1.09,6.56,2.19,0,9.84,1.09,2.19,5.46,0,171.58,1.09,1.09,1.09,1.09,3.28,6.56,0,16.39,0,0,0,1.09,5.46,0,1.09,1.09,71.04,7.65
108-118,0,0,1.53,2.3,0.77,4.6,1.53,1.53,3.83,0,144.77,0,0.77,0,0,1.53,9.19,1.53,12.26,0,0,0,3.06,0.77,0,0,0.77,62.04,9.96
120,0,0,0,0,0,1.96,0,0,17.64,0,162.66,0,0,1.96,0,1.96,3.92,0,7.84,0,1.96,0,0,0,1.96,0,0,33.32,5.88
