stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,57.83,0,0,7.89,0,0,0,7.89,0,0,0,0,0,299.67,2.63,0,44.69,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,37.76,0,3.15,12.59,0,0,0,0,0,0,0,0,0,122.73,44.06,0,78.67,0,0,0,0,9.44,0,9.44,0,0,0,0,0
 14-21,0,0,3,5,12,0,1,0,1,2,0,0,0,0,19,9,13,185,3,1,0,0,0,16,0,41,116,37,0,1,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,2.46,0.82,4.1,9.03,24.63,0,0,0,0,0,0,6.57,6.57,6.57,0,0.82,0,2.46
 36-46,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0,0.81,0,8.86,0,4.83,0,10.47,0,0,0.81,0.81,0,0,0,0,0,0,0,0,26.59
 48-58,0,0,0,0,0,0,0.57,0,1.15,0,0,1.15,0.57,0,6.89,0,4.59,0,2.3,0,0,0,0,0,0,0,0,1.15,0,0,0,27.54
 60-70,0,0,0,0,0,0,0,0.98,4.91,0.98,0,10.8,0,0,6.87,0.98,7.85,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,31.41
 72-82,0,0,5.89,0,0.98,0,0.98,0.98,7.85,6.87,0,9.82,0.98,0.98,19.63,0,12.76,0,2.94,0,0,0,0,0,0,0,0,1.96,0,0,0.98,11.78
 84-94,0,0,2.12,0,0,0,5.31,1.06,6.37,9.56,0,15.93,0,0,12.74,1.06,4.25,0,2.12,0,0,1.06,0,0,0,0,0,1.06,0,0,0,14.87
 96-106,0,0,1.09,0,0,1.09,2.19,1.09,3.28,14.21,0,14.21,0,0,12.02,1.09,8.74,0,3.28,0,0,0,0,0,0,0,0,1.09,1.09,0,0,17.49
108-118,0,0,3.83,0,2.3,0,1.53,3.83,1.53,9.96,0,18.38,0,0,16.85,0,7.66,0,2.3,0,0.77,0.77,0,0,0,0,0,0.77,0,0,0.77,16.85
120,0,0,5.88,0,1.96,0,0,1.96,7.84,19.6,0,15.68,0,0,5.88,1.96,9.8,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,5.88
