stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,37,1,0,0,0,1,10,0,0,5,15,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0.82,0,3.28,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,2.46,0,0,3.28,35.3,0,0,0,0,3.28,0,0,0,0.82,8.21,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,6.45,0,0,0,0.81,0,0,0,0,0.81,0,0,0,1.61,0,0,0.81,18.53,0,0,0,0,1.61,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.59,0,0,0.57,1.72,0,0,0,0.57,0,0,0,0,1.72,0,0.57,0,13.77,0,0,0,0,1.15,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,7.85,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0,3.93,0,0,1.96,12.76,0,0,0,0,3.93,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,18.65,0,0,0,6.87,1.96,0,0.98,0,0,0,0,0.98,12.76,0,0,1.96,17.67,0,0,0,0,1.96,0,0,0,0,1.96,0.98,0,0.98,0,0
 84-94,0,0,0,0,2.12,3.19,0,11.68,0,0,0,3.19,0,0,1.06,1.06,1.06,0,1.06,0,4.25,1.06,1.06,0,6.37,0,0,2.12,0,7.43,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,2.19,0,0,12.02,0,0,0,4.37,0,0,0,1.09,1.09,0,1.09,0,3.28,1.09,1.09,0,10.93,1.09,0,0,0,6.56,0,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0.77,0,2.3,3.06,1.53,13.02,0,0,0,2.3,0,0,0,0.77,0.77,0.77,0,0,4.6,0.77,1.53,1.53,9.19,0,0.77,0,0,5.36,0,0,0.77,0,1.53,0,0.77,0.77,2.3,0
120,0,0,0,0,0,3.92,0,7.84,0,0,0,5.88,0,0,0,0,0,0,0,1.96,1.96,1.96,0,0,13.72,0,0,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0
